CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
14.24,0,5.01,0,0.44,6.09,36.53,5.67,8,284.99,19.93,478.55,12.81
5.77,0,10.04,0,0.55,7.43,56.86,4.59,5,375.99,20.39,369.03,9.42
-1.68,0,13,1,0.46,5.67,44.28,6.64,1,120.32,18.2,415.57,10.67
17.8,0,8.92,0,0.59,5.97,77.15,4.26,24,455.75,18.61,372.28,21.19
14.05,0,18.05,0,0.64,5.64,77.08,3,24,686.72,19.37,322.67,16.91
3.15,0,11.25,0,0.66,6.44,101.35,2.3,5,550.7,20.51,423.3,14.7
-9.82,0,25.77,0,0.77,7.29,104.92,1.6,6,645.59,17.16,276.45,16.13
-15.35,33,8.39,0,0.42,6.55,51.85,5.53,1,219.83,17.43,388.11,2.97
-1.46,20,3.93,0,0.46,6.65,59.62,4.27,3,147.08,17.56,408.76,13.75
6.31,0,9.75,0,0.47,6.46,104,4.45,4,389.04,20.91,453.84,11.13
3.31,35,7.58,0,0.38,7.47,67.41,4.21,6,418.92,19.85,323.74,3.36
22.47,0,28.25,0,0.78,5.33,128.78,-2.52,24,809.99,18.88,151,28.01
6.97,0,18.66,0,0.73,6.73,115.39,0.9,24,638.29,20,167.1,20.08
7.42,80,2.83,0,0.29,7.21,11.53,4.79,6,325.75,17.34,253.68,0.61
-0.13,22,15.67,0,0.48,5.14,62.38,5.6,5,553.73,20.1,511.03,20.47
-9.82,0,1,0,0.61,6.58,76.42,4.45,4,413.04,21.5,333.95,9.78
-0.22,0,16.7,0,0.58,7.13,89.82,2.64,5,402.3,16.42,291.47,12.17
-1.77,12.5,1.9,0,0.4,5.79,47.16,5.25,2,183.58,17.44,369.49,6.83
8.83,52.5,-1.92,0,0.46,7.31,79.06,5.36,3,277.76,15.96,465.15,9.12
7.82,0,14.28,0,0.62,5.71,80.99,1.85,5,321.6,21.63,307.54,20.72
0.63,0,11.71,0,0.55,7.28,76.9,2.96,24,513.37,16.75,124.11,11.81
11.48,0,5.37,0,0.52,5.71,74.03,4.44,7,535.4,18.88,424.2,14.95
4.55,0,9.46,1,0.57,5.94,40.84,4.64,24,466.72,17.07,341.21,10.42
6.92,0,5.67,0,0.55,6.7,93.26,2.82,5,262.53,15.27,346.94,21.21
1.01,80,2.13,0,0.43,7.21,67.42,6.66,6,389.77,16.77,355.82,5.97
-9.27,0,11.08,0,0.58,7.56,93.57,3.02,2,273.72,18.02,414.49,10.8
12.26,0,12.39,0,0.65,6.67,58.64,3.36,24,347,16.28,350.88,6.16
-0.49,0,14.23,0,0.62,6.85,75.83,3.84,4,461.7,18.26,324.13,6.58
8.72,0,11.46,0,0.59,6.48,37.42,4.37,5,400.96,19.02,428.49,5.77
5.68,0,25.1,0,0.65,4.04,75.43,3.69,5,524,21.28,342.46,21.57
-8.36,33,1.75,0,0.44,5.95,47.71,5.73,3,193.22,18.97,406.89,3.79
15.24,0,8.65,0,0.52,6.74,67.91,4.81,24,446.02,18.93,384.48,12.91
1.68,0,17.23,0,0.61,5.58,59.39,4.33,5,530.54,22.57,309.57,14.68
-10.69,22,7.76,0,0.4,6.97,33.11,6.17,4,326.11,20.32,345.91,1.23
0.5,90,-0.23,0,0.39,7.72,49.97,3.61,6,393.02,17.7,477.91,15.52
13.87,0,18.53,0,0.62,6.82,67.93,2.35,24,597.44,19.61,347.89,8.65
13.04,20,6.15,0,0.53,7.64,66.85,3.68,24,334.09,17.38,471.62,4.35
2.3,0,4.14,0,0.52,5.39,69.46,6.58,2,168.3,17.55,493.05,9.63
0.22,0,23.89,0,0.62,5.55,132.71,0.99,4,448.78,19.63,352.54,13.38
5.37,45,1.12,0,0.54,6.03,80.83,6.05,7,291.66,14.22,484.54,9.23
8.45,0,11.51,0,0.72,5.46,82.22,2.98,5,584.17,17.76,346.43,19.61
-13.26,12.5,7.53,0,0.54,6.3,47.71,3.93,1,30.57,14.47,487.61,14.66
-5.78,0,14.3,0,0.56,4.69,70.24,3.39,4,223.86,19.13,387.88,18.27
8.23,0,9.49,0,0.63,5.6,64.65,3.72,5,379.91,18.47,438.22,18.51
5.89,0,14.73,0,0.55,6.51,53.55,7.77,5,551.73,16.61,482.08,12.6
10.75,0,15.14,0,0.61,6.16,84.93,2.31,24,535.19,20.91,321.62,23.33
-0.71,0,7.47,0,0.51,5.68,85.82,1.88,2,229.45,20.62,381.45,10.83
5,0,18.87,0,0.61,7.2,72.89,1.44,24,557.26,17.06,314,15.22
-4.55,0,12.21,0,0.6,6.01,114.21,3.49,4,271.73,20.94,415.59,18.9
20.89,0,19.49,0,0.75,6.4,104.62,0.67,24,689.23,14.46,305.91,15.01
-5.33,0,13.63,0,0.57,5.96,89.98,0.53,2,368.75,17.44,510.78,17.93
-3.44,0,14.37,1,0.54,6.82,53.21,4.52,8,447.45,16.5,363.9,7.67
11.23,0,17.33,0,0.6,6.55,102.74,0.47,5,391.21,18.86,468.98,16.72
10.82,0,9.24,0,0.52,6.21,68.48,2.53,5,405.29,17.53,431.54,18.7
-8.66,70,-5.32,1,0.3,7.7,3.4,7.22,1,-42,15.02,491.37,-11.34
19.23,0,13.73,0,0.61,5.64,107.1,0.89,24,458.48,19.05,398.16,18.95
12.9,0,4.87,0,0.45,7.07,59.06,4.89,5,377.46,13.87,236.62,17.4
16.76,12.5,0.62,0,0.42,7.4,8.41,5.7,24,315.1,18.72,277.41,-1.93
-16.57,0,13.24,1,0.65,6.42,91.38,3.72,2,272.05,19.07,454.41,4.36
17.32,0,6.31,0,0.56,7.12,65.49,4.51,24,596.87,17.94,384.49,10.74
6.45,0,15.58,0,0.62,5.71,90.31,1.01,5,388.57,17.83,366.73,21.91
4.3,0,5.19,0,0.63,6.06,78.06,5.17,6,352.67,17.46,370.7,8.28
9.13,0,6.17,0,0.6,6.45,54.22,4.02,24,532.92,20.34,287.72,13.07
7.52,0,14.48,0,0.52,6.6,89.64,3.23,24,609.53,22.51,286.08,11.98
4.59,0,10.93,0,0.49,6.96,62.55,5.94,4,265.97,20.12,376.11,4.35
7.89,0,5.39,0,0.63,5.41,76.21,4.04,4,187.09,14.9,385.69,18.68
-5.2,0,7.22,0,0.52,6.33,79.42,4.27,4,308.26,18.2,310.51,16.95
-10.15,0,13.78,0,0.61,6.46,76.82,3.47,3,178.32,19.43,391.5,5.83
7.57,0,16.58,0,0.7,5.53,121.52,2.01,7,570.91,19.36,293.38,28.86
1.55,20,8.21,0,0.49,6.69,71.61,4.63,5,347.57,18.61,458.12,3.2
1.07,30,6.02,0,0.45,7.03,30.81,6.32,7,365.03,15.98,283.92,3.96
-0.07,20,2.01,0,0.47,5.38,100.62,4.26,4,358.13,18.64,473.42,21.72
10.72,0,18.8,0,0.77,6.58,125.42,0.61,24,666.87,15.8,345.87,14.47
5.38,0,9.59,0,0.59,5.93,79.55,2.51,24,488.65,18.34,303.44,13.1
-3.97,20,5.63,0,0.43,6.75,49.26,5.12,4,385.54,22.34,269.74,10.55
1.71,0,15.92,0,0.51,5.96,99.32,3.45,4,537.62,17.82,465.85,14.07
5.22,28,5.33,0,0.42,7.3,22.69,5.5,5,289.67,15.64,374.5,5.23
5.7,0,13.15,0,0.6,4.61,54.25,4.49,6,471.78,20.08,236.36,19.6
-7.54,0,5.01,0,0.44,5.83,47.7,4.62,2,340.08,20.84,397.15,20.11
-11.27,0,10.78,0,0.56,7.14,65.83,3.14,3,296.83,19.19,305.98,3.54
4.16,0,14.35,0,0.64,6.62,94.23,1.04,5,465.7,18.38,461.03,15.67
10.65,0,15.24,0,0.59,6.44,47.52,2.83,5,513.35,18.01,356.52,7.17
3.05,0,13.33,0,0.61,6.77,68.49,2.08,24,500.72,18.93,313.96,10.01
14.67,0,15.45,0,0.66,6.93,46.14,3.3,24,608.67,18.06,334.08,6.78
1.3,0,19.76,0,0.63,7.3,65.6,1.66,4,540.92,19.91,240.64,12.17
13.42,0,12.26,0,0.63,5.75,71.26,4.84,24,537.67,19.92,408.07,16.74
-7.82,0,14.62,1,0.64,6.47,84.7,0.79,4,315.65,17.09,387.93,9.79
2.95,0,16.58,0,0.65,5.97,82,2.65,24,615.8,21.44,439.69,12.56
-3.82,90,-1.49,0,0.31,8.68,35.86,4.48,3,145.58,11.74,345.88,-3.21
-2.93,0,12.19,0,0.6,6.11,81.12,4.25,5,516.75,18.72,330.07,19.58
3.14,0,9.01,0,0.67,6.31,95.37,0.83,6,454.03,16.78,382.23,14.18
3.04,0,12.67,0,0.66,6.78,77.29,2.51,5,492.4,17.99,364.86,8.24
16.56,0,15.03,0,0.64,5.43,69.21,3.27,24,631.1,22.32,151.86,24.99
1.29,0,10.99,0,0.57,6.78,91.14,3.28,24,463.93,21.3,281.69,8.09
3.75,0,12.89,0,0.56,6.33,42.25,4.98,8,526.69,20.92,287.02,11.32
-1.94,0,12.86,0,0.63,5.46,73.37,3.42,2,295.53,21.02,563.22,13.09
15.17,0,16.3,0,0.68,7.1,101.04,2.38,24,627.25,22.63,161.77,10.94
3.6,0,12.19,0,0.54,6.34,99.42,2.42,6,409.96,19.04,310.98,13.93
4.66,0,9.38,0,0.56,6.37,50.99,4.15,4,433.76,17.85,449.66,11.22
4.08,0,11.9,0,0.56,6.69,78.69,4.17,4,533.42,15.45,234.23,15.63
19.45,0,4.74,0,0.57,6.01,84.7,3.08,24,440.99,21.58,309.18,15.37
3.29,0,13.23,0,0.48,6.74,53.29,4.53,5,423.88,20.03,310.15,14.8
6.56,0,6.21,0,0.56,5.64,90.05,3.19,24,550.06,20.59,321.12,16.34
-0.93,55,0.65,0,0.33,7.05,43.57,6.8,1,126.2,16.81,445.17,7.55
-3.87,0,25.47,0,0.68,6.23,89.07,1.43,3,498.54,16.48,290.03,20.78
8.47,0,22.42,1,0.59,5.94,59.61,3,8,527.98,20.28,281.62,14.8
3.12,0,5.67,0,0.45,6.41,45.95,4.85,2,140.23,16.92,536.33,9.6
4.35,0,17.89,0,0.65,6.16,67.83,3.45,24,522.29,18.4,254.95,15.42
9.21,0,6.87,0,0.56,5.98,89.67,2.31,6,286.92,16.78,499.56,15.01
11.12,0,28.36,0,0.75,4.97,103.21,-0.96,7,536.28,21.08,147.91,24.41
6.64,0,8.35,0,0.63,5.75,98.86,3.52,4,308.1,17.37,300.14,15
11.91,25,2.8,0,0.46,5.6,69.98,4.36,24,313.94,16.69,392.21,11.53
17.68,0,27.02,0,0.79,5.81,132.33,-0.86,24,782.35,19.94,222.15,29.46
16.55,0,12.53,0,0.67,7.38,51.94,2.89,24,597.5,15.62,281.85,9.06
3.29,12.5,2.83,0,0.37,6.76,33.45,5.22,1,95.21,16.5,365.32,8.01
7.95,0,14.7,0,0.62,5.89,70.77,2.66,24,472.28,18.56,236.08,19.27
-3.04,22,7.75,0,0.51,6.57,30.89,4.25,5,538.41,19.4,210.39,4.46
2.07,20,8.9,0,0.39,6.06,28.43,5.54,4,454.55,18.94,350.78,17.55
5.95,0,9.65,0,0.53,6.11,66.71,4.37,8,406.08,19.43,415.22,15.94
10.54,0,6.16,0,0.43,6.39,59.06,4.59,4,170.31,19.63,439.9,8.78
-1.21,12.5,10.67,0,0.48,6.76,69.72,5.06,5,350.6,19.05,317.89,12.88
9.8,0,19.07,0,0.77,6.04,72.82,2.88,24,515.48,18.07,323.58,14.65
-9.06,80,-2.23,0,0.31,7.59,10.81,9.67,1,90.46,17.89,427.23,-5.5
3.74,0,16.27,0,0.56,5.19,97.29,5.11,4,365.62,16.78,351.16,14.35
7.35,0,22.96,0,0.7,5.07,79.01,1.93,24,564.9,22.41,345.56,16.03
0.49,0,17.06,1,0.64,6.52,89.39,1.5,6,482.7,18,405.05,12.5
10.02,0,14.81,1,0.57,7.3,80.06,2.08,5,517.57,18.24,503.39,6.99
7.67,18,0.91,0,0.51,6.41,56.04,3.51,5,151.01,17.03,504.09,17.15
-2.23,90,-2.81,0,0.45,6.63,9.41,8.78,5,365.41,14.32,367.57,3.75
3.67,0,7.67,0,0.52,6.18,51.44,5.35,5,225.86,18.93,372.1,14.27
5.73,0,22.56,0,0.75,5.92,97.85,1.88,8,609.82,17.42,228.74,22.37
0.38,0,17.59,0,0.52,6.2,96.06,4.11,4,316.82,19.76,233.97,20.74
-4.06,12.5,16.48,0,0.56,6.54,79.33,5.83,5,464.56,16.91,365.07,8.88
5.57,20,11.9,0,0.55,7.26,43.11,4.41,24,625.38,17.69,337.8,9.3
8.02,0,22.57,0,0.67,4.86,66.02,2.76,5,480.91,17.69,285.64,16.07
13.5,0,18.56,0,0.73,5.24,99.52,0.88,24,594.96,19.04,176.32,28.07
-3.05,35,1.08,0,0.34,7.13,55.89,7.58,3,263.78,18.24,418.8,2.27
2.58,0,12.47,0,0.5,6.95,65.25,4.04,4,269.85,19.35,314.02,5.95
4.75,0,8.25,0,0.52,7.32,39.29,2.58,4,164.95,18.55,425.49,9.23
17.35,0,13.2,0,0.65,6.07,106.9,1.77,7,469.9,21.19,388.07,19.16
-1.12,0,14.75,0,0.51,6.43,45.6,5.77,4,627.27,19.81,381.63,17.21
-1.4,0,9.84,0,0.58,6.54,105.17,3,5,300.47,15.35,361.46,10.51
17.78,0,24.9,0,0.76,7.13,101.39,1.75,24,832.25,20.3,286.18,16.27
0.02,0,6.77,0,0.53,6.65,109.34,1.9,4,277.13,19.85,439.01,8.71
15.1,0,4.84,0,0.52,6.68,89.64,3.76,8,391.37,18.27,290.92,24.57
0.91,35,3.33,0,0.5,6.8,48.13,4.74,6,348.41,18.55,487.97,-4.59
13.74,45,4.07,0,0.44,7.01,49.72,5.37,5,371.38,15.47,512.01,2.39
6.9,0,19.47,0,0.78,5.92,87.06,1.16,8,414.15,20.79,268.04,15.77
16.26,0,26.4,0,0.83,4.71,99.66,-0.45,24,693.2,19.48,313.26,30.12
6.17,0,5.76,0,0.45,6.43,26.44,4.68,2,231.61,18.53,343.51,6.5
10.91,0,14.72,0,0.53,6.34,81.1,4.65,5,520.32,20.48,275.27,20.25
-7.32,0,19.38,0,0.54,5.95,72.72,3.81,5,434.85,18.62,383.97,15.43
0.33,0,18.35,0,0.57,4.85,104.41,2.93,2,287.29,22.74,348.42,24.56
-8.46,0,12.95,0,0.66,6.34,99.36,1.74,4,387.16,19.4,363.24,12
-0.87,0,19.37,0,0.7,6.73,91.99,2.9,3,359.16,14.93,491.93,11.57
0.11,0,15.46,0,0.6,6.37,72.6,2.29,5,521.2,19.55,364.73,4.06
14.52,80,-9.3,0,0.33,6.17,51.88,7.59,5,245.13,19.33,462.64,11.71
2.04,0,15.65,0,0.77,6.67,68.84,1.73,5,314.67,16.96,247.96,16.02
1.35,0,18.63,1,0.68,6.78,67.42,3.79,4,452.7,16.6,302.98,9.51
1.17,0,10.98,1,0.7,7.34,110.58,1.43,4,361.99,16.95,460.15,12.21
0.71,34,2.06,0,0.43,6.77,52.08,5.78,6,329.83,19.9,465.42,9.26
7.68,0,24.35,0,0.77,5.43,126.66,0.8,5,627.26,21.52,351.4,22.27
22.75,0,22.08,0,0.64,6.37,97.55,-0.27,24,716.68,20.88,220.16,17.83
-0.4,0,20.1,0,0.73,5.14,104.88,0.28,3,419.23,20.36,388.41,27.35
-4.47,22,4.6,0,0.41,7.43,64.71,5.54,4,311.04,19.16,347.38,2.46
0.6,80,-6.69,0,0.41,7.44,29.83,5.93,2,160.26,15.37,509.44,-1.96
6.2,0,11.94,0,0.72,6.2,71.84,4.68,7,517.58,18.95,243.5,12.34
11.46,0,10.58,0,0.69,6.29,84.72,2.06,4,427.47,18.93,316.1,19.79
1.86,0,14.16,0,0.62,5.83,78.53,2.4,5,434.63,18.59,422.42,20.6
13.63,0,3.27,0,0.5,6.41,45.22,5.89,24,550.44,19.79,214.49,17.25
14.2,20,10.84,0,0.5,6.71,23.92,6.11,24,643.74,17.23,415.37,8.85
-11.47,80,2.22,0,0.39,6.23,33.06,6.76,4,207.99,16.89,388.47,10.96
-5.89,40,9.93,0,0.5,6.27,20.83,6.02,4,470.83,14.82,330.51,11.81
-7.02,90,1.43,0,0.4,7.94,80.68,3.64,24,290.25,17.61,388.88,5.89
-13.77,80,1.77,0,0.33,6.66,22.19,5.81,2,56.2,16.97,469.95,1.82
-6.91,0,13.96,0,0.66,6.82,90.09,2.19,24,561.06,20.64,303.43,7.32
9.18,0,17.54,1,0.64,7.72,99.46,0.4,24,473.06,15.69,433.51,11.68
9.86,0,16.34,0,0.67,6.23,72.01,2.93,5,558.18,20.8,451.9,14.19
14.66,0,14.38,0,0.69,6.21,108.9,0.38,24,501.07,19.33,191.59,21.79
3.16,0,13.29,0,0.51,5.1,72.1,6.5,4,419,22.84,379.94,24.46
-16.6,82.5,2.1,1,0.5,6.3,13.59,5.22,5,160.6,13.76,446.09,1
13.35,0,17.01,0,0.58,6.34,58.69,4.03,6,538.35,17.78,389.9,9.8
8.17,0,5.06,0,0.39,7.35,51.2,6.28,4,342.01,19.89,330.38,-1.41
-2.49,0,13.12,0,0.5,6.12,69.15,5.3,4,395.86,20.22,382.99,6.04
-4.16,0,13.4,0,0.49,5.45,51.86,5.43,3,267.05,21.34,512.82,18.09
9.13,0,18.48,0,0.61,5.97,112.14,2.44,24,649.4,22.98,356.88,19.92
-5.04,0,16.36,0,0.63,5.88,61.67,1.84,3,340.08,16.13,397.46,12.89
11.63,0,15.56,0,0.64,5.78,101.33,2.58,4,438.7,17.3,306.13,16.51
-2.67,75,1.42,1,0.37,7.07,39.42,6.63,5,241.9,16.14,428.88,-5.66
12.38,0,4.64,0,0.49,6.59,66.93,4.28,24,433.35,18.66,490.37,12
-5.88,0,7.61,0,0.49,6.36,71.59,3.92,3,268.63,21.13,427.69,12.87
-6.58,30,14.29,0,0.48,6.15,54.74,6.59,5,363.7,16.11,378.34,10.67
23.33,0,22.53,0,0.7,6.28,88.43,2.51,24,733.79,21.13,298.87,21.16
7.46,0,11.1,0,0.6,5.96,43.95,3.05,24,752.94,19.25,356.45,12.83
7.39,0,11.73,0,0.41,6.61,50.17,6.21,5,463.51,20.41,354.53,19.99
-2.14,22,5.91,0,0.63,5.81,97.94,2.77,5,446.29,17.41,424.19,11.58
-7.25,95,-8.35,0,0.37,7.81,3.9,5.91,2,159.91,16.45,491.46,-6.34
-13.34,80,3.38,0,0.48,7.04,41.62,7.04,4,290.45,16.34,449.41,4.89
6.2,20,6.6,0,0.45,5.91,53.42,4.53,6,384.58,18.54,433.61,14.36
8.66,40,8.47,0,0.38,6.51,20.96,4.65,4,365.03,17.22,548.84,5.3
3.58,0,15.19,0,0.6,5.15,87.28,3.51,4,424.68,21.62,501.38,27.03
6.92,0,17.03,0,0.61,4.53,46.04,4.92,5,546.46,21.15,373.03,26.55
2.92,0,11.22,0,0.65,6.26,82.88,1.97,7,270.87,18.54,317.52,15.86
5.92,0,17.83,0,0.66,6.43,108.04,1.97,4,528.86,20.76,357.75,19.75
0.77,12.5,10.38,0,0.5,5.92,21.57,6.2,4,277.45,13.92,385.06,20.21
2.93,20,7.67,0,0.45,6.79,32.97,5.6,4,333.41,16.91,372.86,5.11
5.49,0,13.41,0,0.6,6.26,79.86,1.37,4,387.91,18.07,384.19,16.09
2.16,0,12.84,0,0.64,6.77,59.33,2.69,5,530.58,18.81,384.04,6
13.68,0,13.67,0,0.57,4.51,79.05,3.75,24,551.98,20.8,345.68,20.3
6.8,0,12.29,0,0.52,6.5,62.33,2.76,5,401.14,21.13,423.91,7.6
-20.33,34,9.9,1,0.48,7.28,45.6,4.36,2,385.82,19.56,477.76,-2.17
-5.11,0,10.61,0,0.67,5.65,63.96,3.24,4,457.25,18.04,343.77,23.55
7.34,0,22.18,0,0.67,5.05,111.92,1.67,24,683,21.51,398.67,24.64
6.44,90,-4.15,0,0.35,7.9,15.61,6.66,24,496.63,15.45,236.27,2.44
7.69,0,17.9,0,0.64,6.32,97.09,1.82,24,552.53,17.99,245.29,18.18
5.41,0,5.88,1,0.52,7.92,63.6,4.41,5,191.88,14.34,383.05,7.41
22.04,0,16.49,0,0.71,6.07,119.76,1.85,24,710.69,18.52,244.26,22.55
-9.42,0,16.16,0,0.71,4.91,104.92,2.71,4,526.72,19.38,409.51,21.37
10.54,0,15.36,0,0.66,6.03,103.5,2.18,4,483.92,22.99,198.36,14.46
12.22,21,4.33,0,0.39,6.01,36.51,6.77,4,296.21,17.02,396.71,8.68
2.1,0,21.19,0,0.64,6.16,100.02,2.3,24,708.62,23.26,414.37,15.43
11.89,0,20.88,0,0.66,6.21,123.34,0.77,24,585.51,17.1,378.85,26.21
7.25,17.5,3.63,0,0.51,7.53,46.05,4.91,4,395.42,14.08,361.41,12.7
-7.94,30,9.62,0,0.57,7.23,66.41,3.94,4,318.53,15.65,438.48,3.92
9.35,0,19.91,0,0.72,6.26,102.76,-1.14,24,730.16,21.12,200.33,16.13
-4,0,4.24,0,0.55,7.06,57.08,4.9,1,167.72,15.12,320.7,10.12
-9.54,0,12.94,1,0.63,6.1,77.41,0.17,5,379.74,16.39,391.83,8.69
13.35,0,13.99,0,0.62,5.96,92.44,1.5,24,594.65,21.83,250.26,18.09
-1.83,0,5.66,0,0.49,5.56,27.2,6.67,4,142.93,20.85,375.81,13.63
11.2,0,12.77,0,0.56,6.03,67.43,3.84,24,409.14,19.85,342.96,11.57
-10.7,0,13.2,0,0.58,6.62,79.83,3.95,2,371.46,17.56,344.98,5.55
3.65,0,9.16,0,0.51,5.41,92.27,2.59,5,418.82,24.6,486.29,15.56
11.71,0,9.69,0,0.54,5.95,54.03,5.06,4,362.91,17.77,446.89,19.5
6.26,0,9.92,0,0.61,7.09,87.71,3.53,5,479.53,15.99,288.59,6.82
7.75,0,13.2,0,0.46,5.93,55.86,6.37,5,385.14,18.09,557.38,13.59
9.16,0,5.31,0,0.44,5.4,54,5.69,5,339.27,19.07,333.74,13.84
6.73,0,24.15,0,0.62,5.73,65.39,1.8,4,591.61,18.92,358.87,25.73
4.82,0,16.01,0,0.58,4.6,47.83,6.73,4,544.49,18.82,473.66,13.94
5.83,30,7.86,0,0.39,6.55,46.04,5.99,5,280.14,18.41,428.14,7.95
10.85,0,14.04,0,0.58,6.18,64.64,3.94,24,571.75,20.62,296.69,15.62
9.17,0,11.25,0,0.6,6.02,77.75,5.25,5,309.79,16.89,334.57,14.74
7.67,0,8.82,0,0.48,6.69,83.23,3.68,4,247.75,17.24,406.34,9.24
6.12,0,18.3,0,0.6,5.57,98,0.38,5,526.26,18.95,338.02,19.01
4.14,0,27.62,0,0.7,6.41,91.42,0.19,5,557.18,19.84,318.24,12.61
-4.4,0,8.08,0,0.59,7.09,99.17,1.43,4,282.8,16.44,352.8,6.63
11.14,0,9.44,0,0.48,4.91,45.13,4.74,6,304.31,20.09,488.58,20.76
