CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
17.95,0,20.18,0,0.69,7.1,74.71,1.67,24,833.89,21.53,192.35,14.99
0.54,0,13.62,0,0.62,5.59,88.29,3.62,3,234.75,17.85,331.83,19.21
15.96,0,18.8,0,0.75,6.12,102.33,-0.65,24,587.52,17.27,234.39,8.07
7.19,34,2.91,0,0.37,6.59,16.88,6.51,4,283.59,16.84,385.8,6.71
4.46,0,10.19,0,0.5,6.38,53.41,4.54,5,482.58,22.74,484.06,8.42
11.13,21,9.53,0,0.5,6.46,56.39,4.59,24,447.4,16.5,402.54,9.2
-2.63,60,-0.26,0,0.39,6.89,16.15,7.96,4,159.8,16.47,362.45,3.35
-10.15,30,8.29,1,0.53,5.97,25.63,5.02,4,436.28,15.79,493.4,8.78
1.84,0,21.74,1,0.75,5.57,136.69,-0.27,5,611.82,17.52,434.05,19.97
-12.54,75,-6.19,0,0.24,6.53,-9.14,7.89,1,-44.99,18.05,458.79,0.25
7.79,0,19.99,0,0.72,5.54,146.3,0.31,7,430.51,22.14,191.1,32.57
24.41,0,30.37,1,0.87,6.66,86.88,0.11,24,677.72,20.26,143.75,17.12
4.07,0,2.28,0,0.38,6.55,50.92,5.94,5,334.37,18.9,326.78,18.36
-0.94,0,16.33,0,0.56,6.54,53.68,4.99,4,395.79,19.93,309.84,5.77
-10.59,0,11.24,0,0.65,4.99,93.44,4.44,5,517.25,16.47,332.42,32.01
11.14,0,2.48,0,0.33,6.23,68.57,5.84,5,337.59,20.28,271.89,11.71
-4.1,22,4.72,0,0.56,6.15,57.09,4.66,5,239.2,13.74,352.19,15.47
18.26,0,8.85,0,0.69,6.38,50.24,4.04,24,538.12,17.51,339.52,14.02
-0.33,0,15.07,0,0.65,5.57,86.92,3.05,6,483.04,19.54,335.32,14.46
0.45,30,9.93,0,0.53,6.67,36.1,5.32,24,388.28,17.84,343.86,7.93
-3.19,0,9.02,0,0.49,6.18,78.61,5.93,4,397.3,17.64,498.81,12.43
-9.05,20,17.06,0,0.47,6.47,44.11,3.23,4,464.24,17.28,439.38,15.8
5.61,0,6.25,0,0.52,6.5,61.35,3.15,4,306.93,16.3,480.32,8.05
19.16,0,21.13,0,0.82,6.35,115.67,1.72,24,745.47,18.07,103.26,23.35
-2.4,0,12.03,1,0.52,5.78,47.02,3.67,5,282.3,17.93,311.26,10.48
19.37,0,21.92,0,0.83,5.09,117.33,-0.01,24,567.18,17.79,293.09,21.08
-1.63,0,8.69,0,0.53,6.53,62.79,4.82,4,329.43,18.11,416.73,8.28
-8.11,100,-8.49,0,0.26,6.99,5.25,9.41,3,-21.74,13.22,467.72,-5.09
-9.96,0,12.2,0,0.48,6.16,41,6.03,2,379.32,19.42,396.55,12.92
5.94,0,16.19,0,0.62,6.63,72.29,2.78,5,520.73,21.39,252.15,9.67
-6.63,0,4.76,0,0.45,5.49,28.94,5.2,2,236.63,19.58,478.17,13.83
0.45,12.5,0.53,0,0.45,6.7,37.76,6.5,6,275.3,17.54,214.61,8.1
14.96,0,11.47,0,0.66,5.94,84.93,3.95,24,500.9,19.84,354.33,21.63
7,22,5.84,0,0.53,6.43,74.96,4.01,24,244.95,16.55,254.74,5.49
-8.41,40,-0.07,0,0.35,6.2,57.49,6.15,3,111.69,19.1,400.75,15.93
3.63,45,4.2,0,0.38,7.3,46.03,4.06,4,176.06,15.18,398.4,3.28
0.21,30,7.69,0,0.46,6.54,66.61,4.76,7,488.3,18.4,365.64,9.65
7.38,0,17.21,0,0.73,6.5,116.91,2.38,24,451.15,20.61,187.47,19.43
1.76,0,10.36,0,0.69,6.27,105.79,0.36,5,400.03,17.06,359.15,15.14
-4.15,0,15.8,0,0.72,5.77,81.65,2.98,3,199.22,14.16,449.39,20.58
0.81,33,7.87,0,0.47,6.8,75.97,3.8,5,425.79,17.34,405.54,8.14
-7.79,0,16.74,0,0.54,5.96,84.71,3.37,3,461.74,18.74,424.36,13.29
3.54,0,8.9,0,0.57,5.7,52.04,5.3,5,324.96,19.28,361.37,12.81
-5.39,0,15.93,0,0.49,5.88,71.51,1.83,1,203.46,18.81,437.04,7.84
0.91,0,9.88,0,0.62,6.13,60.54,4.86,24,580.48,19.57,172.05,4.28
4.19,0,7.29,0,0.49,7.07,66.3,3.96,4,335.78,19.23,446.13,8.6
-0.26,0,6.85,0,0.48,6.14,59.59,4.71,4,120.96,17.54,374.57,10.06
6.69,0,18.54,0,0.68,5.91,98.41,2.8,5,438.35,17.47,391.37,17.92
-0.07,60,9.73,0,0.54,6.97,63.74,3.82,24,427.44,18.97,545.88,3.23
3.71,0,17.63,0,0.56,5.76,112.73,2.34,5,427.83,22.93,227.11,22.41
10.83,0,13.38,0,0.64,6.96,86.37,1.97,5,345.72,16.2,384.48,13.9
-3.85,35,5.6,0,0.47,5.68,82.15,2.69,6,444.58,18.12,405.17,13.38
9.94,0,5.01,0,0.62,6.76,111.72,2.57,5,233.09,19.36,325.09,8.19
-15.74,45,2.29,0,0.48,6.33,66.33,3.98,3,168.02,19.32,407.68,4.47
9.81,0,12.57,0,0.54,6.87,55.66,4.02,24,387.67,17.73,335.3,7.96
22.23,0,17.82,0,0.76,5,82.75,2.18,24,641.2,21.14,374.35,31.19
2.96,0,16.15,0,0.75,5.8,97.36,3.23,24,431.64,16.36,307.2,15.95
8.5,0,4.8,0,0.42,7.26,34.21,5.94,4,420.96,19.28,408.91,4.29
-6.92,22,5.52,0,0.57,6.61,52.67,3.02,4,423.71,17.57,416.37,3.13
10.47,0,19.81,0,0.68,6.09,89.42,2.98,24,565.83,21.4,337.8,12.86
-7.46,90,2.6,0,0.38,7.94,40.45,5.62,3,135.83,13.41,453.08,2.81
4.23,0,14.34,0,0.45,6.05,39.16,4.02,4,373.29,20.95,342.17,6.49
4.1,0,15.34,0,0.55,5.85,84.84,1.28,24,381.91,20.44,237.95,21.41
-1.99,0,12.06,0,0.49,5.51,57.45,4.94,4,529.38,21.74,358.86,12.35
-1.94,0,8.84,0,0.57,6.38,94.78,2.77,5,374.82,16.65,358.15,7.25
18.77,0,18.88,0,0.61,5.7,68.6,2.37,24,688.48,20.09,368.32,17.55
3.18,0,14.46,1,0.47,6.11,73.74,1.85,24,394.28,18.1,322.14,10.91
5.01,0,5.05,0,0.45,7.83,62.82,3.02,4,268.35,20.07,388.85,1.23
-7.61,70,4.02,0,0.54,7.29,14.58,5.03,4,15.49,11.5,436.84,-3.37
4.46,20,4.29,0,0.49,7.55,1.24,5.5,8,473.18,17.26,319.86,2.64
5.07,0,25.04,0,0.76,5.98,118.73,0.85,4,562.35,19.71,268.82,17.17
3.93,0,18.41,0,0.66,5.92,107.09,2.18,5,458.09,21.18,349.62,19.41
1.46,0,7.48,0,0.45,6.63,5.9,5.68,5,314.11,21.01,507.13,4.79
3.96,45,-3.26,0,0.45,7.13,54.19,4.77,4,135.47,13.56,398.09,4.91
7.72,0,13.98,0,0.58,6.58,59.64,2.1,6,464.99,18.9,329.64,7.99
-4.63,80,-3.12,0,0.27,7.34,9.19,6.93,2,16.58,18.12,426.18,1.53
-9.92,55,10.92,0,0.37,7.4,7.35,6.79,3,236.97,16.93,406.82,2.62
5.09,0,22.59,0,0.71,5.8,83.21,0.94,24,735.53,19.92,290.44,15.89
-1.57,0,11.62,1,0.56,7.36,61.89,4.44,5,316.96,17.12,346.06,9.31
11.89,0,17.4,0,0.64,5.97,110.85,1.93,24,614.31,19.09,169.72,24.49
-2.24,12.5,12.64,0,0.48,6.13,32.63,6.01,4,375.66,17.45,438.99,8.73
-9.94,0,13.63,1,0.57,5.86,83.81,4.51,5,291.98,15.08,407.58,16
-6.88,30,12.01,1,0.53,6.91,88.57,1.17,5,447.49,18.48,611.55,3.82
5.54,25,7.65,0,0.51,7.14,54.31,4.57,8,371.76,16.7,408.67,8.24
-7.6,20,1.83,0,0.46,6.78,50.35,5.26,4,281.89,18.35,310.35,6.74
13.34,0,13.89,0,0.5,5.96,59.48,3.92,8,368.93,16.05,355.35,13.81
10.25,0,13.67,0,0.64,6.68,54.62,3.37,24,596.55,14.94,277.33,12.76
11.62,0,16.11,0,0.47,5.32,48.57,3.81,24,419.03,22.46,193.88,21.68
0.45,80,0.13,0,0.34,6.42,11.64,7.53,4,189.46,15.24,399.62,-0.23
-1.8,0,11.93,1,0.53,8.03,77.11,4.24,4,415.7,15.37,443.3,4.01
7.11,0,14.17,0,0.6,5.86,59.05,2.88,24,420.31,18.17,325.14,14.36
2.44,0,17.24,0,0.59,5.77,107.19,0.69,4,311.71,18.93,361.98,11.71
6.03,0,13.16,0,0.59,5.7,51.87,4.8,5,480.66,17.86,303.94,15.18
7.96,0,22.51,0,0.66,5.92,74.7,-1.53,24,632.83,22.63,343.54,18.11
1.29,0,5.46,0,0.46,7.29,54.52,4.71,1,209.39,17.18,308.53,6.13
-7.82,12.5,10.28,1,0.6,7.38,61.72,2.69,6,437.57,18.07,441.73,4.25
3.08,0,23.82,0,0.61,6.66,94.1,1.99,8,663.26,22.62,330.96,11.39
0.95,0,4.59,0,0.54,6.42,78.93,3.99,4,320.85,13.75,273.13,3.49
-3.05,0,3.73,0,0.56,6.35,49.63,6.51,2,59.99,14.66,432.8,8.57
4.45,22,6.46,0,0.47,6.52,37.5,5.67,24,422.9,18.56,433.43,9.31
13.87,12.5,5.88,0,0.48,5.8,46.27,6.92,5,245.94,15.97,463.84,9.55
4.34,0,10.96,0,0.59,6.82,73.89,2.95,5,375.78,18.49,384.9,7.47
5.76,0,11.65,0,0.61,6.22,36.6,5.08,8,547.21,16.16,354.06,10.07
7.89,0,3.95,0,0.43,6.21,47.35,4.52,5,350.54,21.45,270.18,7.63
-2.56,0,11.51,0,0.61,6.85,89.35,0.86,5,292.16,18.12,307.04,4.32
0.44,33,8.35,0,0.42,7.25,53.28,5.37,5,222.6,16.26,395.89,2.6
-11.49,40,-0.57,0,0.36,6.72,57.63,5.91,1,-51.96,18.5,475.34,2.5
11.45,0,5.04,0,0.51,5.6,36.18,7.53,8,520.89,19.54,319.42,22.01
8.04,0,24.18,0,0.83,5.49,116.64,0.59,24,635.05,16,216.19,31.91
2.52,0,9.86,0,0.49,6.29,49.77,4.75,4,356.02,18.15,338.45,8.29
1.76,0,6.98,0,0.55,6.11,87.02,3.07,6,339.33,19.97,319.71,11.65
10.02,0,2.03,0,0.52,5.59,61.17,3.75,7,438.61,19.39,254.01,14.82
-5.07,0,14.08,0,0.57,6.3,89.7,4.68,1,185.45,16.8,599.97,13.72
10.92,0,15.36,0,0.51,6.26,86.52,2.66,5,375.63,21.64,351.9,12.99
-2.53,34,4.49,0,0.43,6.25,-19.08,9.82,4,331.33,18.53,421.7,-3.02
-1.22,0,19.79,1,0.59,6.5,100.7,0.15,5,454.58,17.6,413.25,13.43
7.07,0,23.69,0,0.83,5.67,103.5,1.27,5,508.74,18.02,174.84,24.89
-2.64,0,5.04,0,0.5,7.75,58.27,5.74,2,227.47,16.62,434.34,10.2
2.46,25,7.56,0,0.38,5.91,12.33,5.84,5,190.29,20.65,440.78,-4.1
2.32,0,11.62,0,0.55,6.13,111.25,2.69,4,261.33,19.45,382.14,22.05
6.51,12.5,14.47,0,0.52,6.08,104.85,3.6,24,545.9,18.82,415.21,17.59
-2.7,0,10.65,0,0.65,6.29,105.64,5.01,4,375.43,17.29,474.33,15.91
-11.19,22,11.82,0,0.49,7.05,52.44,4.39,4,310.85,20.17,505,5.85
4.66,0,7.62,0,0.53,7.13,63.77,4.91,4,359.23,17.39,287.68,1.2
0.41,20,2.56,0,0.43,7.44,81.79,4.96,4,142.04,17.32,400.99,2.88
-6.63,0,14.43,0,0.54,5.56,24.55,6.46,4,467.63,18.01,367.33,10.16
-3.83,0,6.57,0,0.41,5.75,50.35,4.45,2,233.11,19.01,484.27,7.6
8.08,0,4.35,0,0.58,6.6,92.62,2.28,24,378.77,17.81,339.23,21.49
3.44,80,3.38,0,0.46,6.2,49.98,3.78,5,490.35,17.03,594.13,6.06
-3.55,0,14.24,0,0.55,7.65,50.68,2.34,4,268.05,16.12,558.42,2.63
-4.92,20,8.76,0,0.41,5.57,81.59,6.44,3,395.61,19,474.19,17.79
3.62,0,11.07,0,0.52,6.5,56.65,4.04,8,529.89,19.85,329.86,10.99
7.53,0,17.67,0,0.73,5.45,82.88,1.91,24,687.92,22.92,387.47,11.5
16.49,0,13.64,0,0.6,5.55,74.3,4.05,24,718.46,20.97,206.57,25.48
11.98,0,11.22,0,0.52,5.83,71.96,2.55,24,499.17,19.96,270.16,17.56
19.49,0,19.8,0,0.72,5.63,85.35,1.3,24,622.45,21.77,134.84,29.92
10.84,0,24.81,0,0.66,5.37,93.17,1.94,24,678.17,20.86,372.17,23.24
-4.16,0,5.95,0,0.51,6.82,45.72,3.92,5,365.33,19.28,292.76,-1.11
26.27,0,14.05,0,0.69,5.38,85.74,3.61,24,548.61,22.65,265.52,19.08
-9.66,0,17.24,0,0.56,5.89,66.43,5.07,2,450.73,15.52,303.58,9.4
-11.85,20,11.83,0,0.52,5.69,62.15,5.78,4,226.97,17.71,358.15,13.76
-1.32,0,21.47,0,0.58,5.6,74.33,4.89,1,323.81,20.23,399.97,15.8
-5.18,60,13.36,0,0.34,5.65,36.5,6.88,5,445.72,21.04,494.08,17.36
6.63,0,24.52,0,0.8,5.36,107.26,-0.13,6,576.73,19.92,376.11,23.64
-7.77,55,4.11,0,0.47,6.46,24.62,4.56,5,325.44,18,482.01,2.32
14.27,0,22.31,0,0.73,5.21,82.21,0.11,24,572.53,18.07,391.83,21.41
1.25,0,10.17,0,0.53,6.38,41.34,5.94,5,386.26,20.84,456.74,16.49
12.52,0,22.07,0,0.66,6.03,96.99,-0.15,24,646.57,19.23,220.51,27.42
1.2,0,18.08,0,0.58,4.81,80.98,2.51,4,570.99,18.96,299.57,17.42
3.8,0,16.58,0,0.69,5.82,104.83,3.22,8,484.27,20.02,402.89,21.27
8.09,0,2.72,0,0.55,6.79,71.33,4.37,6,193.14,15.5,453.29,11.41
6.9,0,9.23,0,0.64,6.22,54.43,4.92,7,425.35,17.02,402.24,9.92
16.02,0,16.36,0,0.64,5.62,123.07,2.43,24,677.03,19.98,336.15,15.02
-6.13,0,12.76,0,0.63,5.79,105.05,2.37,5,422.62,18.53,409.23,13.75
-9.35,0,7.44,0,0.59,5.88,45.65,5.25,3,271,19.48,333.43,6.91
10.82,0,10.58,0,0.69,5.94,79.98,1.53,7,364.11,16.13,412.08,20.63
-2,0,9.72,0,0.59,6.94,91.62,1.61,4,254.15,15.64,334.73,9.73
1.17,0,4.86,0,0.52,5.83,67.6,4.33,4,181.31,19.28,545.77,16.98
3.95,0,5.62,0,0.45,6.48,56.27,5.24,4,306.75,19.57,340.13,11.65
-3.42,80,1.32,0,0.33,6.74,11.93,8.31,4,158,19.53,474.72,1.16
3.99,0,23.92,0,0.61,5.39,96.51,0.11,4,547.04,22.38,372.89,25.58
4.1,30,4.18,0,0.48,7.71,53.98,5.5,4,241.38,15.53,514.63,-1.71
2.45,0,22.43,0,0.57,5.99,68.17,2.43,5,392.05,19.01,381.25,15.23
-1.93,0,20.92,0,0.8,5.56,105.99,0.81,5,509.36,18.96,346.16,11.76
7.9,0,11.69,0,0.58,6.11,84.23,2.43,6,434.13,18.96,525.76,13.31
10.61,0,22.68,0,0.66,5.46,94.4,1.73,5,651.14,20.13,252.66,18.23
-13.63,80,-0.63,0,0.53,7.85,65.47,3.91,4,137.02,14.34,445.62,5.57
10.61,0,10.26,0,0.63,6.24,68.49,0.68,7,482.33,18.28,288.45,15.27
2.26,17.5,6.15,0,0.47,6.22,38.07,7.17,5,333.91,19.26,305.14,9.27
6.16,0,13.19,0,0.61,4.55,115.2,3.51,5,402.95,19.85,286.97,26.21
9.31,0,15.96,0,0.49,5.9,55.32,6.13,24,626.27,19.99,216.59,12.6
8.92,0,5.49,0,0.51,6.34,79.04,4.19,5,287.72,19.6,416.11,8.68
-13.31,82.5,-3.74,0,0.33,5.94,27.88,7.07,2,-36.38,15.87,514.73,4.75
-5.21,0,12.11,0,0.54,6.81,45.59,3.99,2,231.55,17.01,377.09,0.65
7.9,0,14.97,0,0.67,6.56,89.49,3.19,24,723.15,20.4,225.67,16.38
15.5,0,8.89,0,0.57,5.44,104.43,1.46,24,462.08,21.15,330.09,18.24
9.01,0,12.14,0,0.67,5.27,80.82,1.31,4,481.04,20.66,440.22,15.88
13.82,0,18.31,1,0.65,6.03,107.51,1.81,8,471.18,19.64,227.56,14.49
15.94,0,21.32,0,0.69,6.39,142.58,-1.54,24,590.33,20.77,297.69,18.13
-11.95,52.5,7.33,0,0.44,7.18,31.32,4.31,3,297.23,19.65,406.69,-0.48
2.38,0,9.35,0,0.6,6.04,114.03,2.85,4,329.1,16.44,381.32,17.94
7.86,0,10.06,0,0.58,6.62,89.5,2.51,24,460.02,18.44,283.99,18.54
8.77,0,11.02,0,0.52,6.41,67.1,4.5,24,527.12,18.71,244.34,6.54
-2.83,25,8.07,0,0.5,6.18,66.58,3.1,5,368.6,17.81,392.88,10.3
13.53,0,9.06,0,0.49,7.65,55.48,4.77,3,302.27,17.47,346.72,10.28
-9.3,20,8.35,0,0.53,6.64,52.45,4.95,3,325.38,19.32,435.24,4.37
-2.76,33,8.52,0,0.43,7.12,44.55,4.17,5,343.27,18.57,333.9,-0.72
-7.23,0,16.57,0,0.67,5.23,71.74,2,5,386.87,16.63,539.71,19.98
-1.05,0,5.9,0,0.48,7.11,29.99,5.65,5,366.1,21.55,429.94,2.41
1.87,0,3.48,0,0.45,8.28,49.6,4.02,4,133.01,19.37,329.07,2.84
16.98,0,15.6,0,0.67,5.23,102.48,-0.13,24,675.23,23.75,226.2,29.93
13.59,0,9.96,0,0.48,5.26,36.99,5.27,5,458.75,20.7,395.77,10.73
7.22,0,5.5,0,0.57,6.06,76.22,3.26,24,426.56,18.64,377.26,13.23
-16.82,20,18,0,0.52,5.08,90.34,3.6,3,459.66,17.73,473.71,23.49
6.64,0,17.5,1,0.55,5.3,107.87,3.26,24,497.29,18.98,270.26,19.15
-5.83,0,13.6,0,0.66,7.09,120.14,1.21,24,484.38,20.67,289.24,17.5
-10.89,90,2.53,0,0.51,7,56.09,5.64,5,275.15,17.13,482.38,6.36
3.94,0,8,0,0.47,5.65,40.22,6.43,5,359.51,21.63,383.72,12.71
2.32,0,11.47,1,0.6,6.8,90.7,1.93,6,451.85,19.69,320.5,10.77
2.99,0,4.52,0,0.51,7.65,48.21,4.06,5,249.35,17.55,360.78,0.67
9.86,0,10.18,0,0.48,7.28,94.86,1.03,24,439.52,19.81,433.54,5.47
-0.18,0,14.26,0,0.67,4.58,96.57,2.45,4,398.97,20.93,353.11,20.87
16.04,0,19.55,0,0.72,5.39,87.52,1.77,24,726.99,21.46,321.6,25.15
16.67,0,7.21,0,0.47,6.16,47.7,4.19,24,507.93,16.54,205.41,12.88
-4.49,0,8.38,0,0.52,6.6,103.47,3.21,5,305.12,17.08,341.34,11.11
23.84,0,19.18,0,0.64,5.84,90.94,0.89,24,708.55,24.34,287.82,21.28
-17.71,85,10.29,0,0.49,6.95,67.07,5.05,4,304.46,14.53,475.66,5.11
-7.43,80,0.19,0,0.32,6.66,33.64,5.98,4,230.4,19.34,403.75,0.31
7.19,0,14.29,0,0.55,6.1,62.12,2.66,5,453.09,17.98,367.34,18.56
-0.21,0,4.48,0,0.52,6.36,50.67,4.75,5,164.4,16.7,271.34,2.69
7.51,25,9.22,0,0.45,5.97,24.6,5.39,8,451.29,18.49,417.96,10.82
-5.88,20,10.98,0,0.54,6.79,65.48,3.72,6,331.34,17.38,390.3,8.33
2.36,0,15.22,0,0.7,6.08,63.45,3.77,4,405.54,18.24,363.63,19.91
-6.62,90,3.91,0,0.25,4.45,49.39,8.11,3,218.43,17.73,546.45,18.78
-2.34,0,14.71,0,0.7,5.44,108.09,1.63,5,401.37,15.98,402.1,20.01
3.48,0,19.6,0,0.65,6.58,116,1.47,5,467.41,17.7,368.05,9.68
11.11,0,9.58,0,0.53,6.02,65.16,2.5,24,396.19,19.38,465.49,7.87
4.66,28,6.57,0,0.48,6.91,62.42,5.51,5,297.48,14.99,304.01,6.3
8.5,40,5.03,0,0.42,7.82,18.04,6.56,5,376.85,16.71,413.44,-5.3
-11.13,0,18.62,0,0.63,6.43,76.87,3.5,2,421.53,18.36,332.87,11.68
-10.46,0,13.01,0,0.59,5.74,86.33,1.62,4,443.01,17.96,438.13,11.51
-11.05,0,3.56,0,0.54,6.87,85.25,1.91,2,52.54,14.99,411.94,16.37
12.22,0,11.82,0,0.52,5.87,69.58,4.42,5,239.61,17.12,433.95,16.36
12.33,0,18.25,0,0.59,6.31,79.69,0.46,24,375.69,19.76,234.17,14.07
11.82,0,3.12,0,0.39,6.21,22.97,6.01,7,325.69,19.74,219.69,7.76
2.96,0,20.43,0,0.72,4.89,66.31,1.75,6,565.07,16.43,263.29,16.5
