CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
9.78,0,11.99,0,0.49,4.83,81.38,2.93,4,383.69,20.97,421.49,22.81,10.02
2.17,0,21.1,0,0.83,6.31,118.93,0.06,5,475.68,17.52,365.38,10.33,11.34
15.78,0,26.26,0,0.76,6.51,117.48,0.18,24,643.29,19.25,248.45,26.66,19.29
4.73,0,10.59,0,0.56,5.69,78.44,2.2,5,450.84,21.76,395.17,14.6,14.52
8.15,0,16.06,0,0.52,5.37,84.82,3.41,24,615.93,21.13,268.06,23.49,7.57
15.44,0,11.18,0,0.54,6.25,73.66,3.7,24,535.55,17.66,326.52,11.17,16.7
7.05,0,17.27,0,0.62,6.62,66.3,2.4,5,605.28,18.54,401.68,15.67,16.83
1.13,0,10.72,0,0.48,5.96,14.49,5.33,5,477.64,17.67,352.33,14.6,30.55
6.14,0,14.31,0,0.62,6.44,55.66,2.32,24,446.96,15.06,335.96,11.11,29.23
18.1,0,20.31,0,0.83,5.75,134.92,-0.66,24,542.3,14.68,281.08,18.57,17.47
1.55,0,2.47,0,0.45,6.64,83.94,6.54,2,138.23,18.87,376.3,8.41,21.1
5.7,0,16.91,0,0.63,5.47,106.87,1.82,5,487.36,21.34,335.5,19.63,15.14
-3.82,45,0.43,1,0.42,6.97,54.28,8.08,4,202.26,14.89,391.51,1.83,36.87
7.53,0,12.59,0,0.48,5.37,53.16,4.38,24,594.95,21.69,284.75,18.52,7.59
4.22,0,19.02,0,0.63,6.27,57.33,2.33,3,593.31,21.31,308.49,12.19,14.61
4.07,0,9.96,0,0.62,6.13,67.5,3.8,4,347.18,17.8,305.91,11.98,25.11
0.85,0,8.79,0,0.57,7.01,55.3,5.9,24,421.51,19.18,255.04,11.82,18.73
0.93,25,7.81,0,0.41,6.84,57.91,4.64,4,298.9,18.33,400.09,1.93,33.46
14.17,0,12.74,0,0.7,5.24,60.59,3.37,24,518.88,18.07,188.5,14.31,16.31
2.83,0,13.33,0,0.48,6.74,60.63,5.12,3,255.9,21.24,354.83,4.16,34.8
-13.16,70,3.88,0,0.41,7.5,83.42,5.11,2,119.12,14.56,343.5,-5.19,42.67
10.17,0,15.27,0,0.69,4.71,106.13,2.97,24,447.35,20.44,308.77,28.94,1.79
25.83,0,14.84,1,0.63,6.9,120.17,0.75,24,749.72,22.3,319.02,13.32,12.59
4.29,12.5,2.51,0,0.4,6.47,51.5,5.94,5,336.22,19.03,325.9,18.99,17.48
0.49,0,23.08,1,0.66,6.5,106.87,-0.11,24,598.26,17.74,224.34,5.37,23.71
-7.47,0,11.49,0,0.43,5.8,79.4,5,1,371.53,25.51,468.96,21.82,7.61
9.51,0,5.68,0,0.49,5.87,47.75,6.52,4,369.12,16.83,350.41,7.28,27.7
5.92,0,13.93,0,0.66,6.02,37.55,3.61,24,655.49,16.35,244.65,12.61,28.66
-2.24,0,5.34,0,0.49,5.88,52.22,5.49,2,196.57,18.07,481.05,4.62,21.94
8.93,0,15.47,0,0.59,5.49,71.81,3.04,24,486.39,21.32,434.49,18.31,10.67
8.06,25,12.07,0,0.42,6.78,63.2,3.27,24,554.65,16.06,317.45,13.21,32.23
-8.32,0,5.31,1,0.48,5.84,86.83,5.57,5,174.65,18.91,282.95,7.48,25.2
7.41,0,13.28,0,0.58,6.22,53.55,6.01,24,378.11,18.56,281.84,8.06,21.09
2.79,0,12.78,0,0.49,5.24,54.41,4.18,24,536.93,21.37,355.59,22.95,7.29
-13.45,0,8.83,0,0.57,7.18,68.64,3.17,2,322.46,18.64,300.35,13.15,18.64
6.88,28,3.41,0,0.34,6.17,31.67,7.6,24,500.37,19.82,248.22,9.09,21.15
-1.75,18,8.57,0,0.52,6.61,62.52,4.8,4,328.54,18,417.15,7.85,27.67
2.89,0,15.52,0,0.54,5.97,84.99,3.72,1,255.27,18.9,300.4,6.53,22.99
9.58,0,9.38,0,0.52,7.07,35.23,4.86,8,459.8,19.73,333.5,2.85,28.93
-0.26,0,9.64,0,0.55,6.18,69.74,5.4,2,240.52,16.39,306,10.09,25.96
5.3,0,8.45,0,0.64,5.6,91.36,4.47,24,412.25,18.42,239.92,22.73,17.66
-5.35,52.5,2.69,0,0.43,6.67,1.82,6.95,4,144.23,15.41,483.89,3.05,33.69
3.5,0,14.5,0,0.6,6.91,91.03,3.4,24,368.49,15.64,428.8,7.02,31.92
3.07,80,3.8,0,0.3,5.97,48.78,6.72,5,445.88,16.76,373.25,11.7,24.34
5.26,0,18.09,0,0.71,6.67,107.61,1.97,3,344.11,19.98,346.68,11.82,19.55
-7.93,22,8.03,0,0.51,7.24,38.83,5.75,3,367.45,17.76,401.03,7.19,30.19
10.72,0,17.45,0,0.65,6.46,110.99,2.06,24,691.35,21.36,357.81,16.53,23.5
-17.31,80,0.63,0,0.42,6.5,38.34,5.96,3,110.79,17.35,396.96,1.44,31.91
7.21,0,5.45,1,0.59,7.63,72.25,4.5,24,462.36,15.04,174.72,13.86,33.79
1.7,30,8.94,0,0.48,6.1,78.02,4.15,5,432.07,18.5,402.59,12.39,12.2
14.3,0,5.27,0,0.5,6.01,74.28,3.16,24,408.08,20.83,344.12,18.1,8.21
3.13,0,10.9,0,0.5,7.28,71.19,2.69,7,396.54,17.73,335.75,11.13,37.13
-7.44,70,1.98,0,0.46,5.57,27.33,7.45,4,290.02,15.94,357.11,5.1,20.22
12.84,0,13.39,0,0.69,6.87,86.34,0,5,520.13,18.52,302,15.52,26.62
11.81,0,12.44,0,0.59,6.3,93.16,2.45,7,435.44,20.22,422.13,17.26,16.84
11.7,0,20.57,0,0.67,6.24,89.77,2.16,7,608.41,17.79,286.61,15.73,24.75
6.55,0,9.46,0,0.54,6.42,59.09,5.43,5,365.21,17.5,402.01,11.63,22.33
23.5,0,13.41,1,0.53,5.64,85.97,3.41,24,390.62,19.02,487.04,18.22,15.53
8.26,0,12.1,0,0.52,5.78,96.76,2.05,24,629.56,20.94,268.27,18.59,13.24
-0.97,0,17.08,0,0.68,5.17,99.71,0.51,4,514.84,17.28,338.79,18.73,18.04
12.34,0,17.91,0,0.62,5.54,64.91,3.21,24,457.34,20.59,236.03,21.58,11.56
-6.32,0,12.68,0,0.61,6.84,49.62,5.6,2,434.59,16.9,463.6,11.75,19.83
9.02,0,11.67,0,0.53,7.35,53.73,3.84,24,381.62,16.9,338.13,4.64,36.86
-13.1,60,8.09,0,0.51,5.77,55.11,5.93,4,360.43,20.3,579.47,8.41,18.33
4.39,0,8.93,0,0.57,6.74,108.53,2.84,3,318.93,18.4,446,12.84,19.12
-1.83,0,12.69,0,0.64,5.54,66.22,4.54,4,271.83,15.84,325.68,7.48,21.63
11.41,0,9.61,0,0.56,5.9,62.82,5.3,4,452.2,17.24,425.18,18.18,13.28
8.95,0,21.52,0,0.69,7.13,90.12,0.18,24,656.09,18.89,281.14,14.48,30.88
10.88,0,17.42,0,0.64,5.99,80.39,3.47,24,680.08,21.13,220.97,17.81,7.49
-0.8,0,9.08,0,0.58,5.33,59.55,6.32,5,350.21,15.99,375.52,16.02,13.32
13.19,0,15.8,0,0.65,4.76,62.48,3.61,5,376.98,17.73,295.82,20.81,4.48
5.08,34,4.82,0,0.37,6.9,37.61,6.9,8,242.13,19.85,371.07,6.87,24.78
-1.83,0,5.19,0,0.53,6.32,81.07,4.31,4,283.15,17.04,328.52,20.22,21.33
2.14,22,2.38,0,0.38,7.36,2.77,6.2,4,203.38,18.29,375.76,5.73,25.99
-0.45,0,13.41,0,0.54,4.28,107.22,3.22,3,406.09,18.1,475.66,19.25,8.88
-7.51,75,4.2,0,0.54,6.94,14.71,5.25,4,15.7,11.94,436.72,-2.31,36.17
-3.42,0,12.84,0,0.58,4.64,45.15,5.03,4,336.1,17.95,304.14,10.35,17.89
10.33,0,8.89,0,0.54,6.68,17.8,6.31,4,279.24,16.27,356.42,6.55,31.63
-2.65,0,14.31,0,0.48,6.38,79.72,4.23,8,495.11,18.62,252.92,15.96,25.55
13.62,0,9.72,0,0.63,6.32,120.3,3.79,24,643.17,19.77,179.27,18.23,15.58
4.01,0,6.98,0,0.48,5.65,64.42,3.91,5,372.39,19.14,340.49,11.03,23.82
0.1,0,8.78,0,0.59,5.47,44.4,5.72,5,369.41,18.28,344.52,18.15,12.44
-6.56,100,-5.79,0,0.38,7.26,23.69,8.54,7,299.98,17.75,521.11,-6.46,36.8
8.01,0,14.42,0,0.65,6.22,94.16,3,6,519.39,17.71,305.42,10.45,28.7
25.56,0,18.91,0,0.69,5.42,107.7,3.41,24,693.38,20.64,349.38,25.93,8.38
8.3,0,15.03,0,0.64,5.59,66.76,3.34,24,589.39,20.11,274.01,20.38,14.06
-7.82,20,11.08,0,0.53,6.38,68.51,3.51,4,499.1,17.24,349.47,8.17,29.67
10.7,0,19.93,0,0.79,6.98,71.52,3.24,24,613.98,17.86,214.06,16.81,23.86
-7.09,30,11.83,1,0.54,6.88,88,1.24,5,445.67,18.49,612.44,3.46,32.56
3.09,20,3.69,0,0.46,6.41,54.5,6.85,4,287.68,19.08,347.89,5.05,23.37
-12.88,80,1.6,0,0.44,6.66,45.41,4.63,3,211.53,15.97,531.94,8.56,36.68
19.83,0,9.36,0,0.56,6.46,66.12,2.37,24,468.42,18.81,318.31,12.35,25.69
4.72,30,4.12,0,0.4,6.57,16.49,5.83,5,476.89,21.27,455.25,12.75,20.49
5.47,0,11.61,0,0.59,6.44,35.18,6.91,8,568.92,19.78,355.63,19.4,10.62
-4.36,0,12.82,0,0.51,5.92,54.29,3.74,5,462.8,20.65,305.87,21.02,20.72
15.03,0,17.07,0,0.73,5.22,89.25,2.45,24,556.66,19.47,285.9,16.74,13.15
2.66,25,2.55,0,0.39,7.02,63.74,6.65,1,140.72,14.99,551,1.83,32.47
-6.29,40,6.41,0,0.5,6.41,61.89,4.93,4,270.77,15.62,426.84,5.19,31.18
-2.34,0,13.98,0,0.74,7.1,102.8,-0.01,4,317.78,11.52,352.7,17.39,34.52
7.71,0,13.17,0,0.62,5.92,71.06,5,5,423.79,13.55,241.58,16.19,14.32
6.64,0,19.23,0,0.78,5.46,114.8,1.15,5,623.76,21.43,322.24,26.81,6.12
3.16,0,23.91,0,0.62,6.57,94.2,2.06,7,663.54,22.79,330.85,11.89,18.17
2.02,0,8.33,0,0.58,6.02,60.47,2.91,2,144.68,16.12,246.97,16.51,9.07
7,0,13.97,0,0.59,6.49,85.28,0.53,4,455.81,19.75,369.21,17.15,16.93
14.32,0,13.92,0,0.6,6.28,80.82,3.49,8,437.14,23.72,364.34,18.65,11.12
8.52,0,7.16,0,0.52,6.42,39.96,6.05,7,429.51,18.25,372.16,2.32,29.93
4.05,0,6.91,0,0.51,6.35,68.53,3.07,5,295.79,17.87,371.96,13.29,22.17
-12.7,40,7.32,0,0.45,6.54,49.27,6.12,3,235.02,16.21,349.64,6.18,23.81
-2.04,0,7.88,0,0.51,5.17,52.51,5.02,4,325.69,17.99,354.89,19.31,9.98
3.43,0,8.47,0,0.51,6.71,81.85,4.64,3,186.73,18.47,389.75,12.55,29.73
-3.08,0,12.55,0,0.57,5.28,67.48,4.24,4,383.85,21.95,368.35,19.32,1.33
7.14,0,3.43,0,0.39,5.57,63.34,3.91,4,142.29,19.94,389.18,13.25,24.5
-0.65,80,5.74,0,0.4,7.08,62.05,5.31,6,383.38,21.49,450.14,2.12,19.8
14.08,0,4.1,0,0.45,5.67,48.71,4.48,5,232.37,17.19,376.75,9.28,22.62
1.49,0,6.67,0,0.54,6.33,86.38,2.98,6,337.31,19.65,320.65,10.48,27.32
2.97,0,10.94,0,0.66,6,49.94,3.59,5,456.9,16.96,375.91,11.39,23.83
24.62,0,29.99,0,0.83,6.31,93.37,-1.07,24,810.81,21.84,388.19,23.11,19.68
-2.44,0,11.33,0,0.58,6.25,60.8,6.05,4,376.65,17.7,203.33,15.04,21.95
-1.53,21,-5.32,0,0.4,6.27,58.86,6.52,3,258.61,20.21,484.3,13.4,23.45
-3.88,40,-2.93,0,0.32,6.29,60.37,5.44,1,42.01,18.88,465.99,12.76,27.74
8.14,0,10.38,0,0.56,4.87,93.82,2.74,4,359.77,16.66,436.95,26.18,19.03
5.77,0,2.78,0,0.58,6.92,75.48,5.17,5,208.89,17.78,239.83,5.29,24
6.84,0,15.5,0,0.55,6.08,69.85,3.4,4,247.12,19.29,552.84,11.98,23.89
-6.69,20,9.81,1,0.48,7.9,59.74,2.79,4,367.89,19.58,447.29,8.08,32.59
12.18,0,20.53,0,0.57,5.36,94.27,3.76,24,731.59,24.4,241.75,21.4,6.87
11.6,0,0.34,0,0.37,6.41,32.2,7.32,6,360.98,18.94,340.63,11.78,32.79
-3.82,52.5,1.69,0,0.45,5.72,53.91,6.16,4,207.88,17.64,366.8,8.33,12.97
1.25,20,3.6,0,0.45,6.69,83.74,5.33,4,147.96,18.49,398.18,7.06,18.34
-1.89,20,6.99,1,0.47,5.58,83.12,2.84,5,316.02,17.88,379.3,11.67,25.35
8.71,0,15.82,0,0.53,4.98,41.69,3.95,24,585.37,20.45,364.6,20.16,3.07
8.28,0,20.1,0,0.63,7.14,75.57,2.14,24,641.14,19.99,395.23,6.52,24.95
-3.4,45,2.05,0,0.4,7.62,34.63,9.17,3,340.08,17.99,534.85,4.62,43.01
23.43,0,15.73,0,0.74,5.65,136.17,-0.39,24,641.06,19.15,315.27,21.79,11.03
10.49,12.5,4.32,0,0.5,6.91,93.79,3.19,24,386.88,18.09,246.49,17.84,15.05
6.82,0,18.24,0,0.63,5.81,72.45,0.53,6,506.98,19.95,222.15,16.14,16.22
5.58,0,19.37,0,0.55,6.55,96.03,0.38,5,416.56,17.67,291.31,17.17,25.62
14.13,0,3.69,0,0.44,7.11,51.53,4.68,5,346.48,17.2,289.49,13.48,25.57
8.77,0,15.68,1,0.69,6.34,101.16,1.26,8,391.5,16.97,294.87,18.73,25.93
-14.87,45,10.16,1,0.42,6.46,61.37,4.04,4,394.76,19.73,501.87,9.09,30.22
9.98,0,9.38,0,0.59,5.65,56.01,4.09,4,451.56,19.62,426.62,12.07,8.64
27.24,0,15.18,0,0.69,4.76,88.16,3.85,24,556.19,23.68,261.93,23.26,0.2
-1.69,80,-4.15,0,0.41,7.35,71.54,3,4,125.22,15,337.87,-0.41,35.78
10.87,0,11.68,0,0.65,7.99,97.85,0.35,6,370.81,18.12,338.39,4.62,45.04
-14.84,60,8.82,0,0.52,5.2,50.4,5.79,4,383.61,16.43,598.74,12.9,25.63
-4.56,80,3.02,1,0.56,6.94,83.44,6.23,6,320.35,15.67,484.46,5.78,25.71
-1.19,28,5.17,0,0.46,6.49,73.08,5.59,4,344.73,17.22,410.47,8.13,22.44
0.67,0,21.02,0,0.71,6.66,70.33,3.8,8,656.09,20.48,269.18,12.11,17.9
-11.12,55,12.44,0,0.44,7.31,58.2,3.36,4,371.26,19.15,475.51,2.36,33.21
4.8,0,12.88,0,0.53,6.46,81.97,3.99,4,251.29,19.62,393.42,6.54,22.14
2.27,0,-1.81,1,0.45,7.99,56.52,1.87,3,61.91,15.62,371.98,-0.61,40.41
5.18,0,18.03,0,0.64,6.09,103.3,2.64,8,600.16,21.56,404.16,18.84,19.94
10.16,0,15.89,0,0.49,7.14,55.93,4.17,24,451.2,20.69,247.41,7.59,27.22
13.47,0,10,0,0.59,6.4,74.65,2.93,24,592.71,19.94,246.78,19.37,14.75
16.76,0,17.26,0,0.64,5.11,124.83,2.67,24,682.5,20.89,333.58,18.54,5.85
6.82,0,10.41,0,0.53,6.52,66.04,5.36,5,418.09,20.97,334.78,10.4,7.22
-0.57,20,8.51,0,0.57,6.47,66.62,3.34,4,288.41,17.3,466.77,7.02,25.46
8.67,0,17.04,0,0.6,6.65,80.04,0.98,24,649.1,18.65,334.7,15.21,22.26
6.66,0,18.13,0,0.58,5.87,57.86,2.67,5,516.01,17.95,305.48,11.76,25.47
6.29,0,14.64,0,0.62,6.64,118.72,3.45,24,489.58,17.62,309.54,19.82,20.54
4.82,0,11.79,0,0.62,5.53,78.31,4,5,460.56,17.05,336.3,18.56,10.03
12.2,0,6.92,0,0.54,5.54,61.94,5.21,24,469.7,18.6,358.16,17.71,10.9
-8.54,0,17.82,0,0.53,6.45,62.3,3.57,4,432.66,20.57,368.67,15.05,18.08
1.72,0,24.43,0,0.77,6.07,140.78,1.61,4,479.19,19.06,320.85,20.03,16.5
11.43,0,16.78,0,0.53,6.4,75.04,6.67,5,623.7,19.14,288.79,19.44,14.65
0.2,0,10.84,0,0.58,7.14,57.13,3.4,5,300.87,17.45,410.79,6.41,40.98
-5.81,40,-1.47,0,0.3,6.1,19.86,7.4,2,71.14,18.93,411.84,0.86,29.35
-13.86,80,-0.85,0,0.54,7.77,64.83,3.98,3,134.95,14.3,446.6,4.94,36.04
-5.24,20,8.96,0,0.51,6.12,7.4,5.45,4,331.84,16.98,392.7,6.13,26.51
0.96,0,9.51,0,0.63,6.78,87.77,2.78,4,292.93,18.06,373.06,13.79,21.11
2.88,0,8.09,0,0.6,6.29,71.93,4.05,7,620.19,19.13,405.67,14.95,24.05
4.06,0,14.89,0,0.71,6.29,92.92,1.13,8,635.99,19.21,255.13,18,7.54
-3.74,33,10.25,0,0.49,6.79,71.69,3.5,4,341.3,17.54,495.76,3.83,19.69
7.9,0,22.63,0,0.71,6.25,101.93,1.14,5,665.96,19.79,385.09,19.26,13.66
2.01,0,8.4,0,0.56,5.76,54.28,3.68,4,515.26,17.35,396.39,10.72,27.58
-11.39,95,-3.08,0,0.26,8.07,34.12,5.06,1,-108.6,12.55,554.45,-5.46,43.17
-0.12,12.5,3.87,0,0.38,6.01,38.31,3.94,4,207.97,17.15,258.65,2.64,31.91
16.32,0,24.17,0,0.73,6.42,148.46,-2.13,24,687.59,20.4,226.37,23.38,16.76
-12.68,20,8.77,1,0.55,5.32,44.37,5.52,4,166.46,16.82,465.75,10.74,25.52
-1.52,0,17.02,0,0.68,5.1,91.94,1.41,3,455.77,19.09,442.81,19.2,10.86
2.26,0,9.21,0,0.6,6.16,113.76,2.79,4,328.34,16.27,381.66,17.32,23.46
8.03,0,12.28,0,0.61,6.72,57.64,4.11,5,387.99,16.73,416.62,11.53,28.62
-3.28,28,8.72,0,0.46,6.5,37.68,6.25,4,231.09,14.67,322.71,13.35,21.51
1.81,0,9.64,0,0.58,6.43,66.1,3.82,5,405.77,22.19,284.62,14.68,20.15
0.79,82.5,0.92,0,0.28,6.91,41.12,5.55,4,164.02,14.84,406.67,-0.8,35.38
11.58,0,19.25,0,0.7,6.54,103.94,0.33,24,632.67,20.32,245.91,16.07,18.57
3.68,0,14.34,0,0.58,6.07,33.65,3.09,5,581.55,20.56,262.15,8.55,21.38
-4.56,35,11.64,0,0.55,7.51,60.99,2.95,4,464.07,17.75,430.24,4.51,26.9
1.19,0,5.92,0,0.32,6.96,10.32,6.46,3,26.03,21.24,418.9,-0.29,31.19
-6.53,35,5.33,0,0.46,7.22,40.48,5.05,6,394.69,17.93,209.61,16.95,29.1
10.91,0,11.95,0,0.46,6.6,41.6,5.75,3,192.48,17.19,340.63,9.82,31.39
5.4,0,11.77,0,0.52,6.64,76.35,2.51,5,327.14,21.03,380.86,12.76,25.02
1.16,0,13.66,0,0.63,5.96,43.14,4.57,4,259.93,18.01,318.18,13.29,36.49
7.66,0,18.67,0,0.57,4.66,110.3,3.53,8,504.87,20.09,266.69,23.54,1.82
15.82,0,14.58,0,0.63,7.52,66.95,6.91,24,603.09,18.17,338.33,7.31,24.86
3.05,0,25.61,1,0.83,6.1,133.26,-0.83,6,628.86,19.64,340.91,17.67,17.56
10.29,0,7.83,0,0.57,7.59,63.85,5.63,24,491.69,17.01,306.41,5.71,38.72
8.36,0,19.27,0,0.65,6.21,98.22,1.45,5,523.36,17.73,312.73,17.3,19.01
20.01,0,15.86,0,0.71,6.65,83.31,0.32,24,735.9,18.82,311.07,11.21,24.57
6.24,0,6.24,0,0.52,7.74,17.56,4.81,4,345.19,15.92,480.94,-6.01,40.6
5.61,0,15.04,0,0.61,6.58,88.89,2.23,7,531.83,20.63,320.31,14.99,18.25
10.42,0,15.86,0,0.65,6.83,104.25,0.79,24,419.61,17.08,251.71,16.57,16.21
6.07,0,2.03,0,0.48,6.86,47.52,6.09,5,369.04,22.08,382.89,10.29,18.98
2.42,0,6.16,1,0.51,6.73,31.63,5.61,7,396.11,15.23,295.28,13.28,36.57
3.84,30,0.75,0,0.46,7.44,48.67,5.49,24,505.01,19.3,314.1,1.19,34.4
-2.03,0,16.49,0,0.62,5.64,56.96,3.26,3,402.53,17.75,468.93,14.19,15.6
7.06,0,14.12,0,0.55,6.25,61.85,2.58,5,452.33,17.74,367.69,17.74,21.37
1.21,0,15.36,0,0.55,6.47,69.39,4.57,4,436.85,15.37,248.63,14.96,26.81
12.06,0,15.88,0,0.66,5.88,102.4,2.38,24,578.38,19.99,242.75,22.56,18.23
11.31,0,13.7,0,0.58,6.97,66.26,3.29,24,425.46,17.68,105.95,18.08,19.09
0.41,0,6.71,0,0.4,6.22,51.03,5.14,6,341.96,23.89,349.55,12.03,21.95
-14.45,0,21.51,0,0.62,5.44,114.44,4.56,1,374.72,19.24,419.23,22.65,10.73
19.82,0,16.69,0,0.71,7.01,104.27,0.95,24,607.72,16.46,322.37,15.08,31.88
10,0,18.49,0,0.71,4.86,111.67,2.48,6,508.38,19.8,254.03,21.83,7.74
18.09,0,21.97,0,0.68,6.1,118.72,0.52,24,598.45,19.79,336.69,24,15.72
2.81,0,12.24,0,0.76,6.4,80.63,2.62,24,567.02,16.37,371.35,14.15,21.84
4.41,33,1.66,0,0.49,7.08,58.38,4.47,7,468.92,19.58,237.18,12.98,19.58
-6.92,95,-9.99,0,0.3,7.32,-19.82,7.48,4,141.23,16.48,437.22,-4,41.55
1.48,0,10.58,0,0.63,6.79,90.58,4.5,3,387.76,13.52,294.39,11.36,34.39
11.58,0,11.04,0,0.51,6.5,68.17,4.12,5,235.34,16.19,435.91,13.15,31.74
14.63,0,14.45,0,0.47,6.3,40.76,6.51,24,563.19,16.21,309.32,17.95,21.55
