"","CRIM","ZN","INDUS","CHAS","NOX","RM","AGE","DIS","RAD","TAX","PTRATIO","B","LSTAT"
"30",-5.04,"0",5.79,"0",0.44,5.92,41.86,5.88,"2",287.08,20.17,411.52,12.75
"31",1.18,"0",9.82,"1",0.43,7,54.16,3.58,"5",495.52,19.03,325.63,12.74
"32",-6.76,"20",8.9,"0",0.53,7.41,48.78,3.5,"3",271.27,16.32,425.05,-1.53
"33",-2.88,"25",8.89,"0",0.53,4.68,51.19,5.19,"4",282.49,16.29,530.97,16.15
"34",-0.12,"0",14.7,"0",0.42,5.8,22.37,5.42,"2",301.11,21.15,470.06,10.18
"35",13.36,"0",9.44,"0",0.49,6.23,72.69,4.06,"6",369.7,19.2,354.07,12.76
"36",-2.06,"0",7.08,"0",0.54,7.34,79.33,4.14,"4",335.06,21.17,220.76,0.91
"37",-9.71,"40",3.81,"0",0.45,7.51,43.24,2.21,"5",426.38,18.88,306.94,1.26
"38",8.25,"0",12.44,"0",0.5,7.23,42.13,4.95,"8",411.58,17.05,286.83,4.86
"39",10.9,"0",15.3,"0",0.69,5.09,116.89,1.2,"4",512.76,17.76,328.65,25.38
"40",3.4,"0",10.49,"0",0.54,5.88,57.2,2.51,"5",372.34,18.61,275.08,10.19
"41",-7.11,"0",11.1,"0",0.5,6.92,89.57,1.05,"1",252.69,18.76,467.76,6.17
"42",2.32,"0",12.02,"0",0.54,6.19,68.47,3.39,"5",275.89,18.48,289.14,13.22
"43",-0.23,"0",12.47,"0",0.5,6.88,63.71,4.99,"3",261.74,18.85,422.46,-3.05
"44",-14.87,"45",3.69,"0",0.46,6.23,48.1,2.81,"3",284.76,18.03,486.04,9.33
"45",-5.06,"0",12.73,"0",0.52,5.87,73.38,3.59,"4",287.98,20.18,336.1,12.48
"46",0.68,"0",16.56,"0",0.69,4.83,73.47,3.62,"6",521.04,19.64,353.91,17.48
"47",-3.67,"90",-4.1,"0",0.22,7.35,-40.36,8.56,"3",87.53,13.47,455.85,-4.02
"48",6.25,"0",17.33,"0",0.59,5.81,74.57,2.89,"8",500.93,17.89,178.12,21.03
"49",-5.03,"0",15.44,"0",0.61,5.57,95.86,2.81,"4",344.74,18.04,406.01,19.7
"50",0.78,"70",0.22,"0",0.33,7.75,38.65,6.3,"4",211.91,15.73,431.27,-0.73
"51",-14.13,"80",0.28,"0",0.28,5.76,2.35,8.59,"2",195.67,21.26,471.05,5.19
"52",-5.14,"0",14.53,"0",0.6,6.09,65.62,4.42,"3",233.45,14.82,401.71,10.37
"53",1.1,"0",14.17,"1",0.67,7.14,72.5,3.53,"5",380.67,16.73,422.13,6.21
"54",-0.49,"25",4.03,"0",0.45,7.66,70.23,6.41,"4",214.32,17.32,425.94,5.42
"55",0.55,"18",6.49,"0",0.51,6.66,32.22,4.74,"4",250.41,13.28,449.23,8.16
"56",15.29,"0",13.83,"0",0.53,5.81,73.28,3.06,"24",722.89,22.92,309.93,16.36
"57",1.93,"20",9.47,"0",0.57,6.45,80.76,3.97,"4",467.63,14.01,339.13,18.58
"58",-8.38,"90",3.42,"0",0.38,5.84,37.56,7.54,"4",148.24,14.74,581.23,0.23
"59",-6.94,"80",-0.37,"0",0.38,5.94,25.83,9.64,"3",254.78,17.93,370.59,12.51
"60",-0.87,"30",11.86,"0",0.68,7.53,85.07,4.15,"24",528.45,16.37,445.12,2.52
"61",4.07,"0",10.66,"0",0.44,6.12,79.44,1,"4",297.11,19.11,465.25,10.45
"62",10.51,"0",8.35,"0",0.53,6.21,61.99,3.6,"8",223.24,17.41,446.83,16.47
"63",17.25,"0",13.6,"0",0.51,5.99,45.8,5.14,"5",545,20.45,452.16,13.75
"64",-1.33,"0",4.32,"0",0.5,6.93,74.75,3.46,"1",304.33,18.02,405.73,7.89
"65",-4.91,"0",11.88,"0",0.59,5.87,70.99,5.28,"5",552.5,22.33,280.69,17.99
"66",11.45,"0",19.12,"1",0.79,6.25,134.72,-1.05,"24",604.98,16.58,335.28,16.2
"67",4.01,"0",13.7,"0",0.67,6.49,119.33,1.69,"4",368.1,16.5,414.62,13.38
"68",6.54,"0",12.13,"1",0.7,6.94,101.82,2.82,"4",232.32,13.45,229.91,17.68
"69",5.25,"30",6.39,"0",0.41,7.23,45.88,7.4,"6",454.67,19.94,316.56,3.9
"70",-2.01,"0",18.22,"0",0.72,6.35,104.25,1.67,"6",428.9,14.88,339.69,16.62
"71",3.08,"0",13.42,"0",0.69,6.23,89.63,0.7,"8",443.22,19.19,356.82,14.71
"72",14.39,"0",21.77,"0",0.78,6.07,123.85,1.66,"7",526.38,17.31,333.75,14.47
"73",9.56,"0",9.79,"0",0.59,6.11,43.27,3.74,"24",488.76,17.87,453.81,16.61
"74",13.18,"20",6.6,"0",0.53,6.89,71.43,6.14,"24",520.73,16.47,283.79,16.78
"75",1.61,"0",17.26,"0",0.54,6.68,56.13,2.22,"5",305.56,21.61,269.86,11.01
"76",2.49,"0",3.93,"0",0.51,7.47,50.67,3.79,"8",310.03,18.92,335.21,-2.67
"77",14.24,"0",16.74,"0",0.63,6.19,49.39,3.59,"24",486.62,18.55,408.62,9.26
"78",9.34,"0",8.46,"0",0.72,5.73,76.39,4.82,"24",441.17,18.63,402.05,15.47
"79",-0.69,"0",17.39,"0",0.63,5.79,108.36,4.01,"24",564.2,21.67,155.29,21.17
"80",-2.72,"0",1.02,"0",0.45,6.5,34.55,5.15,"2",153.51,17.37,349.74,3.11
"81",1.71,"0",24.16,"0",0.79,5.92,108.51,0.67,"24",731.76,17.54,361.98,26.34
"82",1.55,"0",9.19,"0",0.44,7.69,51.3,4.44,"4",281.18,19.19,400.56,3.21
"83",13.96,"0",29.33,"0",0.86,4.93,104.24,0.81,"24",894.57,21.31,401.01,20.97
"84",4.34,"20",3.75,"0",0.47,6.27,60.39,6.55,"4",40.88,15.98,518.11,13.2
"85",-10.77,"0",20.04,"1",0.63,5.8,110.37,1.35,"4",317.2,19.19,371.02,14.41
"86",-4.48,"22",5.32,"0",0.53,6.63,38.88,3.65,"5",497.81,18.98,378.41,6.51
"87",17.56,"0",14.16,"0",0.6,6.69,72.17,3.72,"8",446.08,19.18,301.2,19.6
"88",-8.03,"35",1.44,"0",0.54,7.92,78.75,2.3,"2",124.62,15.78,508.61,2.94
"89",24.72,"0",22.86,"0",0.74,5.32,92.53,1.03,"24",692.7,23.8,247.12,15.96
"90",-1.45,"0",16.76,"0",0.63,6.8,73.55,4.28,"5",513.35,21.94,373.56,14.37
"91",5.58,"0",5.33,"0",0.47,6.45,45.19,7.39,"5",480.08,18.97,268.5,9.86
"92",-10.07,"0",12.46,"0",0.53,7.05,34.85,5.02,"3",162.37,20.71,394.18,5.51
"93",0.44,"0",17.78,"0",0.65,6.05,94.24,1.73,"5",515.66,17.89,362.16,11.96
"94",0.51,"0",18.6,"0",0.71,5.48,94.13,1.43,"4",479.08,17.95,388.56,15.77
"95",-0.41,"0",12.04,"0",0.72,5.67,68.86,2.3,"5",383.59,16.85,270.54,9.97
"96",-25.01,"95",-0.51,"0",0.35,7.61,1.79,6.22,"1",127.17,14.61,397.39,-11.15
"97",-2.84,"0",12.34,"0",0.46,6.22,28.41,5.13,"3",285.61,17.54,283.54,13.59
"98",4.37,"0",6.61,"0",0.5,6.7,42.55,4.13,"4",362.93,18.49,261.9,10.94
"99",6.58,"0",13.46,"0",0.63,5.68,55.2,2.9,"4",337.19,18.77,378.52,19.36
"100",-11.11,"45",1.47,"0",0.42,7.24,30.69,7.54,"3",197.15,19.64,472.36,6.79
"101",10.24,"0",19.96,"0",0.71,6.28,90.04,2.9,"6",560.85,19.58,406.57,21.29
"102",0.77,"40",-3.01,"0",0.3,6.55,39.82,6.77,"4",258.49,18.79,308.35,11.57
"103",11.13,"0",9.61,"0",0.56,6.68,77.17,3.8,"6",436.36,16.39,367.18,11.62
"104",8.23,"0",12.79,"0",0.58,4.71,94.86,3.56,"24",451.94,21.04,148.72,22.69
"105",3.65,"0",7.12,"0",0.42,6.65,35.11,6.86,"4",313.73,19.91,329.98,8.53
"106",-19.05,"80",3.86,"0",0.36,7.19,31.32,4.94,"1",-6.48,15.16,523.51,0.06
"107",8.51,"0",8.04,"0",0.54,7.73,52.81,4.73,"5",477.75,17.38,368.18,3.81
"108",-3.73,"0",8.34,"0",0.49,5.98,79.31,6.45,"4",353.76,18.79,428.31,9.77
"109",16.38,"0",14.64,"0",0.53,6.26,78.21,4.74,"8",374.76,21.34,410.65,10.18
"110",13.68,"0",19.04,"0",0.62,6.59,68.84,2.07,"24",718.06,21.52,281.63,14.95
"111",7.03,"0",2.01,"0",0.53,7.57,92.87,2.7,"4",278.61,15.22,469.84,4.37
"112",-0.61,"20",-5.44,"0",0.49,6.72,37.31,7.2,"3",102.1,15.2,418.37,-0.92
"113",-1.16,"20",10.78,"0",0.44,5.89,35.33,4.46,"2",325.97,19.46,568.59,4.59
"114",-3.69,"0",5.12,"0",0.49,6.61,89.02,4.5,"3",141.58,16.6,339.08,15.94
"115",13.21,"0",20.88,"0",0.71,5.07,85.1,0.4,"24",689.98,23.68,285.15,24.08
"116",10.14,"0",13.42,"0",0.6,6.19,43.73,4.85,"5",584.52,16.99,344.81,5.37
"117",2.97,"55",4.68,"0",0.37,7.42,-17.54,8.66,"2",276.52,14.99,477.06,-2.73
"118",-1.85,"0",18.07,"0",0.6,7.37,120.43,2.33,"4",434.46,16.75,380.37,13.23
"119",22.05,"0",16.28,"0",0.64,5.43,78.72,2.06,"24",639.34,18.46,329.53,21.62
"120",2.83,"30",8.57,"0",0.59,6.35,50.7,5.61,"5",473.58,15.8,468,4.45
"121",4.86,"0",10.78,"0",0.62,7.42,78.31,3.05,"8",371.31,14.78,374.95,7.49
"122",4.54,"0",12.41,"0",0.61,4.72,75.73,2.24,"5",387.74,17.7,365.01,26.61
"123",6.16,"0",16.39,"0",0.6,6.16,59.38,3.19,"4",422.64,18.2,395.7,19.34
"124",-7.04,"80",-4.24,"0",0.28,7.96,18.03,6.87,"1",181.77,17.4,551.25,-1.77
"125",-5.87,"0",12.16,"1",0.49,6.54,59.76,4.55,"4",351.17,18.1,339.21,12.25
"126",-4.18,"0",12.53,"0",0.48,6.34,76.12,4.44,"4",381.14,19.17,334.32,13.53
"127",21.17,"0",14.43,"0",0.69,6.48,99.13,3.38,"24",677.27,16.49,267,15.82
"128",-10.61,"60",4.49,"0",0.49,6.69,63.17,0.49,"3",95.76,16.35,619.63,0.94
"129",3.18,"0",10.37,"0",0.49,5.94,63.48,3.74,"4",327.11,19.3,400.86,15.11
"130",7.64,"0",12.3,"0",0.66,6.87,59.95,3.91,"24",598.87,17.94,364.33,15.31
"131",11.3,"0",9.41,"0",0.59,6.06,81.29,2.21,"5",323.83,13.9,289,16.5
"132",-7.09,"0",5.94,"0",0.58,6.41,82.58,3.35,"4",297.24,16.29,412.87,6.38
"133",9.34,"0",18.28,"0",0.7,6.72,88.1,1.2,"6",502.43,16.35,226.69,19.62
"134",-1.43,"0",7.25,"0",0.55,6.1,54.83,5.09,"5",358.93,19.51,350.66,13.64
"135",0.85,"0",10.81,"1",0.62,7.13,61.5,1.81,"5",347.7,16.46,406.95,7.92
"136",2.42,"0",16.21,"0",0.62,5.4,61.68,3.86,"5",320.56,19.38,324.77,14.01
"137",1.45,"28",-0.52,"0",0.37,8.09,39.75,6.05,"4",195.83,20.26,392.35,-1.62
"138",-0.83,"0",13.56,"0",0.66,7,82.07,2.83,"5",477.52,19,280,13.98
"139",15.31,"0",9.04,"0",0.38,5.29,32.75,5.27,"5",281.9,18.27,414.19,8.75
"140",14.9,"0",10.12,"0",0.78,5.45,116.15,0.04,"24",321.09,22.36,203.51,27.75
"141",4.7,"0",16.72,"0",0.69,4.9,94.47,2.97,"5",473.4,19.3,384.14,16.09
"142",4.47,"0",19.6,"0",0.77,6.1,147.14,-2,"24",564.9,20.8,356.01,22.08
"143",-2.13,"0",13.88,"0",0.71,7.13,87.25,2.31,"5",367.59,17.37,148.06,13.84
"144",-3.76,"30",-0.01,"1",0.52,8.66,79.42,1.75,"4",45.91,14.7,579.34,-2.11
"145",6.28,"0",17.97,"0",0.77,6.37,72.42,0.98,"24",613.37,15.67,248.73,16.63
"146",1.17,"40",0.08,"0",0.42,5.94,35.48,7.25,"3",94.44,13.92,503.99,8.03
"147",19.74,"0",15.94,"0",0.71,5.16,96.94,2.55,"24",682.29,16.65,240.47,20.42
"148",-11.42,"80",-1.86,"1",0.39,7.67,47.9,5.42,"4",188.47,16.17,557.04,9.47
"149",3.47,"0",3.7,"0",0.36,5.16,18.42,8.78,"3",155.89,20.11,449.83,14.06
"150",9.53,"0",11.01,"0",0.62,5.59,69.67,3.75,"24",408.74,16.85,432.33,9.62
"151",-4.72,"0",2.72,"0",0.4,5.96,52.19,5.05,"3",136.95,22.09,417.57,7.86
"152",-1.67,"0",9.09,"1",0.7,6.73,108.82,1.77,"5",414.83,15.43,353.56,12.93
"153",4.36,"0",10.58,"0",0.3,6.28,26.86,6.37,"4",306.49,20.54,250.12,11.4
"154",11.63,"0",13.73,"0",0.52,5.93,85.78,5.26,"6",491.57,19,415.32,14.61
"155",6.04,"0",9.73,"0",0.53,5.75,66.97,3.2,"24",585.04,18.85,202.22,13.97
"156",-1.37,"0",13.46,"0",0.5,6.75,61.53,3.39,"5",377.52,22.18,317.59,9.61
"157",-6.23,"0",12.46,"1",0.52,6.02,73.49,3,"2",228.54,14.31,304.97,13.38
"158",4.96,"0",15.03,"0",0.7,5.01,82.99,1.75,"24",521.12,18.02,296.55,21.32
"159",-2.7,"70",0.61,"0",0.44,6.06,44.23,8.16,"4",328.4,16.47,407.4,8.93
"160",-1.59,"0",14.04,"0",0.65,6.62,97.36,4.11,"5",565.77,20.45,292.44,16.14
"161",1.39,"0",5.05,"0",0.45,5.82,75.18,5.6,"4",95.99,16.85,336.84,9.78
"162",-7.42,"0",6.48,"0",0.56,6.86,74.05,2.1,"3",179.11,16.63,366.64,12.76
"163",10.48,"0",10.66,"0",0.59,7.47,65.85,5.3,"24",466.55,19.87,316.22,15.48
"164",18.24,"0",16.54,"0",0.5,5.37,89.78,4,"4",319.17,22.8,270.5,22.04
"165",21.52,"0",26.26,"0",0.77,5.36,109.8,-1.2,"24",662.74,21.93,301.35,22.01
"166",14.54,"0",10.56,"0",0.48,7.02,84.31,2.87,"24",385.64,22.47,207.01,12.57
"167",11.01,"0",10.88,"0",0.62,6.6,102.28,2.15,"24",441.68,14.95,201.68,16.46
"168",6.86,"52.5",2.17,"0",0.4,6.18,57.67,6.44,"5",419.4,17.31,346.51,7.58
"169",-6.8,"0",10.15,"0",0.63,7.46,67.15,3.63,"5",396.03,20.1,346.01,6.87
"170",12.24,"0",17.29,"0",0.58,5.89,69.35,4.78,"8",619.13,21.86,279.91,15.52
"171",-1.02,"0",7.7,"1",0.68,7.74,101.72,2.26,"3",191.62,14.62,279.66,5.01
"172",-14.18,"80",0.86,"0",0.42,7.32,39.95,5.83,"3",23.8,18.06,561.84,10.64
"173",0.94,"12.5",1.29,"0",0.42,6.58,53.51,7,"5",72.83,19.42,443.2,9.1
"174",-1.01,"20",2.5,"0",0.39,5.92,43.3,5.15,"4",289.94,18.28,412.3,13.11
"175",5.82,"0",11.49,"0",0.68,7.36,110.01,2.15,"6",397,14.69,181.68,14.52
"176",3.16,"0",21.35,"1",0.73,5.74,110.27,3.19,"4",377.51,17.47,344.27,13.24
"177",0.5,"80",-2.06,"0",0.36,7.09,43.67,8.56,"4",235.26,16.79,585.77,8.73
"178",4.48,"0",2.32,"0",0.5,6.64,92.17,4.22,"4",366.56,22.12,544.2,7.02
"179",8,"0",15.79,"0",0.57,5.43,31.42,4.5,"24",447.76,18.27,385.6,16.53
"180",11.68,"12.5",2.21,"0",0.42,6.25,39.98,6.28,"5",264.44,18.3,391.48,10.61
"181",-3.54,"40",7.17,"0",0.48,5.26,47.15,5.98,"4",429.61,16.85,373.06,17.82
"182",5.52,"0",11.86,"0",0.45,6.04,53.36,6.22,"5",408.01,19.56,396.14,16.16
"183",-13.04,"80",-0.33,"0",0.48,7.29,54.36,4.75,"3",214.38,15.83,454.25,-2.77
"184",14.25,"0",12.64,"0",0.61,7.09,73.87,5.03,"24",710.64,17.15,199.56,11.01
"185",-7.67,"35",3.84,"0",0.35,6.29,42.72,5.73,"4",176.43,20.69,452.04,7.79
"186",-4.99,"40",6.85,"0",0.44,6.41,40.23,6.6,"4",204.22,17.67,422.9,9.11
"187",8.27,"0",22.55,"0",0.82,5.16,107.69,1.89,"24",632.33,19.95,259.69,30.33
"188",6.73,"0",13.87,"0",0.58,7.01,82.94,3.72,"6",467.05,16.97,282.1,13.87
"189",12.42,"0",10.76,"0",0.55,5.66,35.52,2.26,"5",370.94,17.08,363.11,12.67
"190",-0.09,"0",12.92,"0",0.58,6.56,51.1,3.99,"24",509.3,19.29,394.65,4.79
"191",0.75,"22",10.69,"0",0.35,5.76,57.45,6.09,"4",259.41,16.61,349.26,13.79
"192",3.68,"0",2.56,"0",0.43,6.07,24.19,5.95,"5",452.71,20.28,308.79,4.44
"193",1.08,"20",10.73,"0",0.43,6.88,59.27,5.91,"4",453.37,14.82,446.65,3.54
"194",14.87,"0",8.79,"0",0.49,6.29,45.18,2.58,"7",361.56,19.12,352.33,12.23
"195",-6.86,"70",2.07,"0",0.42,6.89,62.84,5.59,"3",197.44,15.31,295.56,-0.87
"196",2.31,"0",9.32,"1",0.47,7.39,55.92,5.48,"4",208.07,15.25,321.39,4.84
"197",9.09,"0",14.23,"0",0.61,6.77,95.86,2.11,"7",497.2,20.14,320.11,13.85
"198",17.71,"0",11.71,"0",0.51,6.64,76.24,5.02,"24",716.88,21.25,170.26,16.93
"199",-1.64,"12.5",8.27,"0",0.34,5.23,64.13,3.21,"4",213.08,20.38,417.18,23.14
"200",7.23,"22",7.89,"0",0.39,6.13,56.63,3.61,"8",403.19,20.83,435.9,12.22
"201",3.24,"0",4.59,"0",0.52,7.02,34.59,3.77,"4",218.39,19.84,436.71,2.97
"202",-0.56,"0",16.16,"0",0.7,6.34,76.85,3.14,"24",438.21,18.03,312.42,16.69
"203",10.35,"0",23.2,"0",0.55,6.42,79.19,1.75,"5",522.58,20.64,325.39,16.59
"204",-1.73,"0",16.91,"0",0.75,5.6,125.23,0.66,"8",576.48,20.41,428.01,25.32
"205",9.99,"0",20.24,"0",0.75,6.13,88.13,2.99,"5",401.67,20.14,404.43,25.2
"206",5.31,"0",13.69,"0",0.47,6.24,57.7,2.57,"24",398.85,20.42,379.21,11.9
"207",9.2,"0",6.88,"0",0.69,7.54,81.36,0.87,"24",491.21,14.36,313.49,13.03
"208",-8.89,"95",-1.95,"0",0.26,7.35,3.03,7.75,"4",288.09,14.21,416.95,1.22
"209",-3.19,"20",4.69,"0",0.45,6.31,39.33,7.06,"5",325.86,19.72,452.18,14.2
"210",5.55,"0",3.85,"0",0.51,5.63,107.17,1.86,"5",432.75,19.17,410.08,20.68
"211",11.43,"34",4.63,"0",0.42,6.68,30.03,4.71,"24",546.87,20.07,406.73,5.13
"212",20.47,"0",13.84,"0",0.59,5.68,61.49,2.99,"24",606.49,18.41,368.05,10.91
"213",0.5,"0",15.68,"0",0.55,6.55,62.44,3.74,"5",480.69,16.9,361.9,17.04
"214",6.27,"0",17.17,"0",0.76,4.81,94.2,3.64,"6",473.62,16.71,240.82,28.5
"215",0.9,"0",20.34,"0",0.71,5.58,95.67,3.67,"4",481.87,21.1,298.14,19.25
"216",-17.84,"0",9.9,"0",0.45,7.36,55.91,5.15,"1",195.7,18.41,347.46,11.64
"217",-0.01,"0",20.71,"0",0.54,5.78,70.99,2.86,"7",572.29,22.37,536.63,2.78
"218",2.35,"0",7.82,"0",0.37,7.05,12.86,3.96,"4",213.31,17.33,248.41,1.22
"219",-4.51,"0",7.71,"0",0.45,6.18,61.16,6.1,"4",328.86,18.38,213.21,13.44
"220",-3.49,"0",8.38,"0",0.61,6.03,75.26,2.62,"4",103.94,16.83,283.32,11.83
"221",6.3,"0",12.43,"0",0.55,5.01,74.65,3.93,"24",460.07,18,392.36,18.76
"222",12.39,"0",4.55,"0",0.5,6.37,78.12,2.87,"5",385.04,20.38,350.33,19.89
"223",5.62,"0",14.47,"0",0.53,5.39,89.52,3.76,"24",372.22,18.95,317.11,25
"224",5.74,"0",11.47,"0",0.52,6.16,99.2,3.95,"5",228.85,17.41,185.39,10.87
"225",11.55,"0",16.96,"0",0.74,5.78,118.48,0.31,"8",472.27,17.75,428.42,20.48
"226",-2.88,"25",15.05,"0",0.55,6.96,30,5.13,"6",420.61,16.29,320.33,-1.74
"227",14.21,"0",12.2,"0",0.6,7.25,66.77,3.64,"24",517.99,17.16,250.21,13.17
"228",-9.84,"90",-0.28,"0",0.37,6.9,31.31,6.34,"4",373.66,18.8,544.42,-2.4
"229",6.36,"12.5",4.1,"0",0.55,6.36,67.48,6.16,"24",439.64,16.76,314.93,21.71
"230",10.85,"0",21.96,"0",0.69,5.37,83.52,1.87,"5",646.7,18.92,326.63,19.61
"231",-5.22,"0",3.96,"0",0.48,6.63,28.18,6.43,"2",160.97,16.98,380.11,6.02
"232",0.72,"0",9.79,"1",0.54,6.36,73.19,4.03,"5",336.9,16.4,369.58,10.62
"233",6.2,"20",9.49,"0",0.53,6.01,76.51,4.81,"24",674.74,21.23,305.49,17.16
"234",5.88,"22",-0.84,"0",0.43,7.57,46.97,4.12,"4",264.64,17.1,379.12,-0.8
"235",16.81,"0",20.35,"0",0.61,6.06,111.98,2.49,"24",684.83,20.42,326.8,16.51
"236",7.25,"0",13.21,"0",0.65,6.28,87.94,1.77,"8",500.64,21.98,412.61,10.88
"237",-9.24,"95",-5,"0",0.23,7.76,-10.02,10.4,"2",18.01,18.16,511.11,-8.75
"238",2.41,"0",5.55,"0",0.68,6.2,95.75,1.61,"4",214.15,19.45,418.32,23.02
"239",3.27,"22",8.11,"0",0.48,6.51,35.5,6.31,"7",317.7,17.29,357.93,11.46
"240",13.91,"0",10.67,"0",0.56,7.31,82.99,4.39,"24",402.74,18.06,382.64,1.83
"241",-6.99,"75",3.26,"0",0.48,7.77,58.46,6.38,"4",255.19,14.88,451.74,-3.04
"242",-7.2,"12.5",17.44,"0",0.44,6.3,31.63,5.46,"2",343.74,17.44,516.95,8.88
"243",-16,"100",-9.49,"0",0.21,7.81,-15.1,10.75,"4",80.17,15.53,430.7,-0.18
"244",8.8,"0",15.36,"0",0.7,5.49,93.69,3.68,"4",317.9,17.66,406.3,11.63
"245",5.07,"0",14.77,"0",0.54,6.43,106.64,1.52,"5",379.18,21.02,427.65,17.34
"246",1.56,"20",0.63,"0",0.5,7.2,35.15,6.18,"5",287.65,18.07,322.94,0.2
"247",-8.53,"21",18.4,"0",0.69,5.1,108.4,2.48,"24",586.81,18.52,473.69,12.24
"248",10.19,"0",22.04,"0",0.55,6.54,87.69,2.26,"5",501.66,18.76,430.68,13.94
"249",22.1,"0",24.81,"0",0.78,5.39,106.36,-0.15,"24",857.82,20.37,253.24,19.97
"250",-3.15,"30",6.99,"0",0.52,5.93,70.34,3.91,"7",259.83,19.6,455.15,8.58
"251",23.5,"0",17.9,"0",0.6,5.28,70.2,0.2,"8",563.5,21.53,301.99,21.96
"252",19.71,"0",25.49,"0",0.78,5.64,122.84,-0.74,"24",799.08,17.96,297.47,28.82
"253",6.66,"0",10.5,"0",0.58,7.13,86.25,1.64,"5",276.7,16.63,460.65,10.39
"254",16.4,"0",11.11,"0",0.72,5.82,97.01,2.42,"24",651.15,19.36,513.05,24.17
"255",13.25,"0",6.91,"0",0.41,5.42,33.36,5.44,"6",371.21,15.39,294.98,17.88
"256",-3.79,"0",14.72,"0",0.6,5.81,97.4,2.08,"6",396.26,20.85,375.3,12.84
"257",5.39,"0",4.99,"0",0.52,6.63,77.25,2.32,"3",174.24,14.26,508.69,11.07
"258",-5.14,"34",3.78,"0",0.46,6.81,21.87,6.44,"4",133.14,13.91,378.83,8.79
"259",-2.68,"45",5.23,"0",0.35,6.31,22.93,4.83,"4",255.8,19.5,433.46,1.26
"260",23.93,"0",23.84,"0",0.8,6.87,126.57,0.3,"24",647.68,18.03,389.4,15.05
"261",12.25,"0",16.15,"0",0.72,5.85,112.25,1.42,"24",526.42,19.95,472.91,16.3
"262",-3.56,"0",10.07,"0",0.55,5.12,27.88,5.99,"4",495.9,20.92,426.39,14.91
"263",-0.44,"0",3.85,"0",0.46,7.74,31.7,3.38,"3",214.14,18.08,378.58,-4.72
"264",-0.4,"0",22.74,"1",0.76,7.08,114.03,-0.03,"5",470.27,17.15,420.16,9.21
